CPU9,CPU9,CPU9,CPU9,CPU9,CPU9,CPU10,CPU10,CPU10,CPU10,CPU10,CPU10,CPU11,CPU11,CPU11,CPU11,CPU11,CPU11,CPU12,CPU12,CPU12,CPU12,CPU12,CPU12
INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES
15548,58359,1372,126,0,242,16239,63648,1746,116,0,277,358517,533626,26716,3011,0,2249,25469493,22967418,687464,64445,140,215438
28058527,23015747,621338,64244,103,219713,108600,192567,10805,976,0,1202,17240,105044,6487,580,0,625,86098,459081,9969,1040,10,1079
19330347,18021213,509712,50488,26,197535,106243,174581,8586,800,0,972,13939,95170,5086,444,0,536,76684,481485,11188,995,10,1194
14649427,12186851,397783,39745,13,111797,91071,99251,3955,357,0,528,19997,97137,6129,507,0,668,65633,523557,9851,1006,10,1070
33533147,27932020,640934,65806,37,273150,99967,117855,4178,316,0,661,13653,71358,4202,360,0,506,82779,434292,12157,1166,10,1322
43321699,32722821,688140,78955,75,289751,90352,100080,4023,383,0,511,3138,27878,548,90,0,42,55536,423718,10110,982,10,1120
20703374,16717298,434484,43740,15,175220,101673,162948,4995,444,0,735,3142,28779,694,88,0,99,85380,526553,10758,1091,10,1325
16499801,15375718,487185,48408,60,161956,90724,98120,4088,379,0,523,3142,26379,694,114,0,35,55026,425783,10335,980,10,1033
40259940,32863730,702797,75054,257,339453,101918,128485,4863,413,0,738,3142,29808,653,85,0,89,89239,541997,11632,1088,10,1451
16894704,15478148,449600,45895,20,162664,92145,113876,5350,456,0,632,3142,28560,726,81,0,101,62788,540739,9954,1178,10,1276
20922372,17478962,454649,49430,24,177527,104294,180656,5190,488,0,840,3142,31874,656,88,0,97,58862,460365,10471,1022,10,1131
116417842,48520569,301747,43719,0,113521,90573,96037,4058,369,0,521,3142,22589,581,80,0,43,84380,442847,14972,1322,10,1625
116568642,48522275,257035,36032,0,98600,101709,124251,5126,472,0,720,3142,29534,593,91,0,35,55669,384907,12674,1132,10,1285
97872690,45742751,612420,95187,0,78521,89957,97360,4207,391,0,547,14323,90075,4460,377,0,532,60949,425465,13904,1272,10,1477
33971541,19949364,676326,51299,0,26628,102246,158932,5032,456,0,735,3131,28899,670,86,0,99,84197,573707,11576,1083,10,1325
4881979,3979217,200554,21540,0,26420,90458,94660,3901,364,0,468,3130,18060,622,85,0,41,61744,337571,9222,905,10,1160
5547703,3528533,143048,17394,0,19792,102329,113467,5077,440,0,750,3142,21033,750,109,0,102,70408,307128,14031,1387,10,1662
4708818,3596551,162202,24370,0,16064,90233,86138,4021,349,0,515,3139,21140,715,95,0,101,73098,221702,10602,1011,10,1076
15269400,7751315,199838,24724,0,40273,103354,119328,6199,493,0,789,3138,20587,721,86,0,93,57827,244240,11562,1112,10,1374
21578253,9879123,260465,35480,22,41971,90411,85590,4051,381,0,512,3139,18387,593,95,0,32,52922,212386,10103,944,10,1223
44039079,18079908,636159,110961,12,35475,101469,122982,4946,434,0,714,3138,22982,657,84,0,95,52943,291597,9921,956,10,1172
62894711,26451855,982645,177686,12,57226,89993,93852,4037,376,0,500,3139,24164,701,85,0,97,85360,427138,12696,1206,10,1533
98502968,34839443,605696,105298,18,47133,101999,120214,5083,445,0,726,3138,24836,679,81,0,94,57304,421769,12897,1142,10,1292
135516389,43112993,33689,3631,0,39938,90268,94550,3928,356,0,517,21785,99818,4970,412,0,703,67192,577563,11169,1079,10,1445
121902229,47781724,1104018,194369,40,91303,101709,124036,5023,432,0,750,3131,25872,686,86,0,100,58149,503421,10138,962,10,1214
133565273,47772894,889255,157965,24,65897,90033,96490,4056,376,0,483,3127,24893,662,78,0,98,86618,544818,11720,1078,10,1497
147986655,47748756,54355,6714,0,47345,101692,120270,5017,434,0,727,3127,25895,642,80,0,102,65210,537518,12507,1198,10,1518
87599579,43072827,1015945,177726,1,166651,91878,117523,5134,431,0,566,3127,26342,618,81,0,99,57585,506952,11248,1034,10,1228
79771932,47776647,1171474,142641,0,227421,102392,126684,5002,440,0,755,3149,26696,634,85,0,95,64553,549099,14825,1297,10,1484
106989144,47821560,593228,81868,28,179783,90123,96461,4352,416,0,565,3149,27321,720,97,0,95,58902,511913,12604,1120,10,1277
85555842,47770757,591716,119274,20870,130700,101698,124368,4948,433,0,720,3149,25991,647,84,0,94,87421,590600,16286,1432,10,1673
91669484,47763483,604308,124444,24242,129837,90429,96102,4108,384,0,510,3149,25877,595,79,0,93,62643,496861,13831,1240,10,1454
94067152,47770096,607561,124908,24932,131608,101517,122048,5100,440,0,716,3149,26351,714,84,0,97,58252,477256,8485,830,10,879
94491929,47808652,610505,125528,25138,133244,90131,97600,3890,352,0,503,21809,104389,4902,396,0,729,68531,548011,16013,1397,10,1674
95015574,47787469,616493,126602,25256,134584,102051,120637,5053,432,0,703,3143,26325,649,82,0,97,58772,500410,12633,1128,10,1280
94886975,47806940,620492,126074,25190,138193,90320,100504,3957,357,0,501,3149,24693,702,89,0,96,87538,565042,16556,1463,10,1731
95146589,47818681,624841,127296,25318,136094,101648,129645,4500,417,0,689,3150,25858,594,90,0,93,58684,513563,12562,1127,10,1293
95002720,47858352,627877,127232,25104,138921,91595,103536,4196,334,0,463,3149,25167,780,110,0,96,64833,516789,14506,1330,10,1426
94087907,47654639,627537,126478,24720,141814,101935,125023,4690,422,0,703,3150,25707,700,101,0,93,67160,561125,11763,1073,10,1476
95160331,47788379,630661,127892,25164,134584,90169,95976,3971,357,0,502,3149,25894,747,98,0,91,58074,504893,10150,974,10,1214
94943087,47776551,635195,128628,25024,136195,101382,127036,4824,420,0,706,3150,25684,760,98,0,94,95437,624775,14819,1355,10,1748
95625446,48184866,636606,128524,25062,139087,90194,98604,3867,362,0,502,3149,27557,724,86,0,94,55796,381572,12786,1152,10,1283
97006087,48680192,637038,129144,25778,137139,101650,123517,4883,441,0,711,13999,72043,3870,326,0,425,60792,423962,14646,1299,10,1476
96663723,48646376,636593,128644,25540,140811,90390,105203,3957,374,0,506,3149,29573,631,87,0,92,55418,375131,12494,1135,10,1240
96933755,48751148,634137,129019,25716,139054,101853,127124,5099,452,0,769,3149,30111,696,92,0,91,55387,373143,12565,1125,10,1248
96966400,48657208,633463,128628,25606,137686,90038,103467,3908,365,0,492,3153,30913,644,94,0,98,61809,456476,14756,1295,10,1467
96830697,48610170,632305,128088,25592,136320,99357,132140,5549,475,0,742,3153,30345,666,90,0,98,78241,423675,14056,1233,10,1448
96680322,48536615,631919,128544,25570,136522,90710,95789,4062,370,0,505,3153,27663,637,91,0,27,85008,441260,16659,1446,10,1721
86877286,48522326,532099,99669,12768,81688,102009,125946,4866,438,0,647,3153,25696,694,101,0,33,78587,414930,14124,1264,10,1484
79776768,48539432,366419,61628,0,22567,90096,97373,4065,391,0,492,3153,26449,598,87,0,33,61512,409665,13163,1238,10,1405
75019952,45523525,374369,55213,0,30399,102065,127596,5176,477,0,782,3153,29973,717,82,0,94,82969,429598,11574,1105,10,1390
98825543,48546721,329706,43029,0,133039,90351,98150,4119,383,0,510,3153,26532,553,83,0,34,54827,387194,9913,956,10,1117
99182006,48552436,328106,43971,0,128543,101908,123281,4866,437,0,734,14511,86980,4269,375,0,465,109917,476079,15444,1406,10,1820
99770339,48620661,340607,46501,0,123572,90332,105134,3774,353,0,518,3142,31287,728,99,0,93,56512,416107,12620,1141,10,1259
99649712,48630424,330586,44439,0,124156,90622,106286,3989,365,0,506,3140,30396,606,94,0,92,84292,443201,16415,1409,10,1683
99031876,48646849,325334,43515,0,127634,99620,147835,7237,610,0,808,3153,33046,633,68,0,98,81599,410031,15033,1321,10,1629
96410098,48734477,359621,48389,0,119676,90339,104785,4192,392,0,553,3153,33413,661,80,0,98,56101,386371,11185,1036,10,1161
94520743,48718259,394345,64733,0,147628,101830,127094,5032,464,0,777,3153,28012,777,96,0,95,83419,438847,16194,1438,10,1665
99390077,48528040,320781,41852,0,134730,90312,102301,4057,381,0,505,3153,27706,577,86,0,42,55590,383027,12712,1129,10,1258
100131996,48618492,324766,42931,0,124481,90833,103245,3865,365,0,502,3153,30470,629,86,0,94,83342,440137,15998,1422,10,1670
99326735,48607310,321405,42667,0,128039,97794,134535,6145,547,0,749,3153,31357,723,98,0,92,55461,407797,12393,1106,10,1237
102671296,48617307,343964,48275,0,105421,99936,125554,5191,440,0,741,3149,30019,707,91,0,91,62110,409288,13796,1234,10,1464
101761858,48622814,347550,49194,0,102859,90343,102838,3925,384,0,494,14765,98850,4167,349,0,536,85932,502823,15697,1393,10,1736
100180726,48552037,358645,56281,0,114804,98115,133693,6347,566,0,772,3142,26797,491,75,0,37,54975,395957,10006,962,10,1223
104203707,48656788,331733,45656,0,105116,92214,116965,4844,435,0,582,3142,30565,729,87,0,99,60400,423179,12314,1155,10,1455
83710645,45420627,455219,93161,0,103711,95714,113286,4613,410,0,634,3153,27210,545,75,0,29,86980,487601,15900,1434,10,1658
100392640,48541311,338662,47694,0,117427,95231,114200,4592,421,0,631,3153,27199,564,98,0,43,60116,413372,14704,1309,10,1463
99917597,48418490,342337,46844,0,117199,96995,117843,4955,420,0,680,2967,27805,660,86,0,87,57327,314244,13699,1231,10,1420
101227778,48632421,339546,45660,0,114342,94992,120367,4611,384,0,632,3149,31404,688,95,0,97,56200,383474,12805,1160,10,1272
100570048,48540442,329053,43648,0,124284,90371,98638,4023,382,0,505,3153,26929,687,106,0,36,84189,473556,15172,1339,10,1665
99229212,48610579,337354,46654,0,135212,97750,118843,4669,404,0,696,3153,31164,580,83,0,99,58761,396626,10618,1002,10,1323
100340039,48611630,330684,44461,0,126393,90661,107037,3774,349,0,507,14545,100298,4312,371,0,541,62157,417132,14320,1300,10,1536
100148726,48543560,332158,44584,0,125073,95755,113198,4601,412,0,639,3142,26803,576,71,0,47,54777,378112,12282,1107,10,1245
88140205,48624193,562901,119022,0,166270,97032,116213,4984,446,0,748,3142,31974,610,73,0,88,83846,417702,13665,1322,10,1536
107921624,48631682,434559,99533,195,244195,96501,130748,5583,450,0,668,3149,28096,804,107,0,95,62439,417649,15275,1345,10,1553
131606525,48622766,41064,8211,0,233195,97116,117109,4814,424,0,696,3150,32748,784,96,0,89,54533,376075,12417,1112,10,1261
77156285,43027513,781820,150567,201,233882,97132,111110,4472,347,0,666,3149,31619,644,83,0,98,61466,437296,13809,1269,10,1451
113853301,48095763,482464,87134,42,264470,106455,163103,7282,581,0,1030,19659,103572,2342,236,0,566,87973,445679,13416,1361,10,1571
136728741,48597688,31824,6201,0,217438,91386,104651,3982,368,0,526,3153,29804,645,79,0,100,61844,381499,14818,1341,10,1476
118770561,48486727,436177,77070,344,257771,102737,130707,5132,440,0,741,3149,30444,712,81,0,94,64312,427638,13747,1201,10,1467
96049995,48477675,1129531,200381,1656,213491,90682,104268,3978,359,0,502,3153,30441,651,84,0,94,55814,374697,10913,997,10,1159
133585874,48578401,69153,11327,0,218340,91102,97997,3552,286,0,522,15155,90754,4363,368,0,533,83303,424449,14922,1328,10,1652
114762609,48555633,557118,93238,605,243399,103263,125058,4963,454,0,751,3142,26546,513,78,0,47,56123,373560,12830,1140,10,1274
93743474,48716580,1216534,214308,1504,230823,93905,114490,5339,446,0,637,3142,31421,649,83,0,103,60973,398744,14889,1309,10,1512
121503801,48704599,419829,74930,36,241565,102333,128573,5061,469,0,756,3153,31572,668,80,0,99,54857,361647,12522,1123,10,1276
134264948,48595395,31519,6181,0,240358,90639,100506,4045,359,0,523,3153,26875,747,93,0,98,55123,364544,12653,1138,10,1261
100444245,48522218,746109,133457,654,334431,96281,113132,4691,429,0,642,3153,27364,620,89,0,43,83006,428748,14160,1294,10,1603
107820012,48610270,798114,141490,646,258575,97768,120620,4916,428,0,689,3153,29749,689,98,0,93,76579,383024,10904,1015,10,1329
136692530,48591696,28713,5311,0,210338,91590,107472,4079,363,0,553,3153,30502,666,69,0,96,85206,442961,16550,1435,10,1738
131721988,48586688,32797,6099,0,256662,98198,131451,6329,576,0,771,3153,31981,688,91,0,94,63631,387932,14608,1294,10,1535
113792439,48590394,636922,117338,64,260182,91227,100560,3998,347,0,520,3153,30715,638,92,0,96,83035,406583,14860,1262,10,1638
123980475,48499704,320867,58246,21,231932,102568,123976,5040,474,0,726,15401,80171,4289,372,0,495,61314,385146,14454,1319,10,1474
133599402,48606084,45918,8105,0,236032,93991,117388,5064,407,0,637,3143,27151,636,78,0,97,76322,375821,13608,1204,10,1423
116697645,48638266,492169,87620,43,267309,102541,129488,5053,449,0,747,3149,29926,638,84,0,90,59612,423722,11793,1095,10,1440
116754905,48636186,520042,95049,42,258438,90724,108357,3921,379,0,511,3154,29636,676,84,0,93,77366,408879,10924,1020,10,1339
136878774,48615168,26076,4944,0,210353,91090,102514,3966,354,0,521,3153,29150,730,91,0,98,59237,397673,11331,1055,10,1400
133693633,48563743,26389,5132,0,245086,98418,119535,4979,434,0,762,3154,30356,618,80,0,99,59218,415213,12254,1103,10,1351
120738386,48619420,452583,82045,35,251344,91092,106881,4145,381,0,555,3153,31347,693,86,0,96,77094,410267,11240,1016,10,1335
127622852,48516695,250231,46576,45,233929,98324,127218,6408,579,0,774,3154,23687,607,78,0,31,60353,404383,11339,1089,10,1467
114461092,48520143,596506,112640,37,255193,97711,116059,5009,450,0,712,3153,24625,621,79,0,31,55344,362753,12736,1137,10,1284
134818816,48637758,33504,6562,0,236053,97625,125007,5019,426,0,703,15160,84941,4385,383,0,553,83077,429707,16019,1401,10,1681
122403886,48621467,399741,73180,40,246053,98577,132571,5739,439,0,717,3149,31686,747,103,0,97,54818,362024,12487,1102,10,1242
118836264,48586091,416201,75902,224,266473,97306,121874,5042,423,0,683,3138,30742,755,87,0,95,61312,383535,13841,1206,10,1445
137257476,48539320,26427,5008,0,213379,95605,111659,4699,426,0,624,3153,26794,628,83,0,33,84170,422232,16370,1413,10,1719
132626815,48518862,28104,5434,0,248700,97838,117407,4996,445,0,720,3153,28107,594,98,0,43,55391,349402,11292,1043,10,1182
101805933,48658323,903665,165402,167,296152,97636,124204,4902,401,0,708,3153,31435,665,81,0,99,60824,437785,14453,1282,10,1481
84589195,48657815,1562325,283189,1287,245106,95705,114483,4754,429,0,692,3149,26961,724,93,0,100,55263,377989,12591,1120,10,1287
130166648,48614252,295262,52169,208,178241,95567,117020,4598,386,0,592,3149,31295,704,93,0,91,92153,446914,15225,1466,10,1745
138342380,48552476,41210,7128,0,191467,97837,122050,5018,445,0,780,3149,29171,653,87,0,94,57529,398046,10143,960,10,1302
110639482,48600756,866459,150267,657,214304,95622,116309,4599,401,0,622,3153,31531,723,87,0,100,55065,381673,10005,951,10,1200
124874427,48620113,366125,65763,20,229966,95652,114120,4667,398,0,612,15159,84391,4335,360,0,545,61015,397387,14083,1248,10,1506
119155729,48540843,480273,90887,41,249042,106255,144586,6298,513,0,768,3142,26626,577,83,0,40,55269,376524,12544,1119,10,1269
116768144,48544187,551247,101451,37,244599,97642,116878,4984,440,0,705,3140,27527,645,97,0,45,84187,436135,16474,1417,10,1707
136574693,48592164,34094,6071,0,188981,95620,123244,4637,404,0,602,3153,27524,673,84,0,88,63651,398666,15964,1394,10,1631
136149417,48582336,37697,6705,0,214690,90972,104519,3936,369,0,528,3153,29657,712,91,0,92,61015,374292,13743,1190,10,1454
134152855,48555589,77285,14293,2,207492,98148,133025,6147,523,0,767,3153,29858,596,65,0,98,60653,383456,14877,1318,10,1487
