CPU9,CPU9,CPU9,CPU9,CPU9,CPU9,CPU10,CPU10,CPU10,CPU10,CPU10,CPU10,CPU11,CPU11,CPU11,CPU11,CPU11,CPU11,CPU12,CPU12,CPU12,CPU12,CPU12,CPU12
INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES
17125,112165,1801,200,0,199,111127,917810,50663,1828,10,1607,11705121,21294348,1270147,261880,20,35700,416943,1239246,112525,20296,0,2444
112080,230747,12134,1082,0,1251,59724,387470,14223,1348,10,1434,52355188,33235906,574240,77765,39,170976,43702,190431,5359,522,0,840
101187,147786,6520,630,0,792,53670,336263,12358,1123,10,1255,74982842,50196361,1218939,145983,0,282385,37479,125645,4152,424,0,643
97868,131430,5122,460,0,765,59667,372745,14590,1300,10,1479,79185336,49750656,1082224,129296,0,252644,52692,176114,7042,730,0,1031
98273,135637,4747,437,0,692,53236,350396,12103,1087,10,1235,70294497,50004416,1337278,173659,0,302774,10178,67232,3132,287,0,357
97655,124884,5085,483,0,708,59968,380455,13217,1175,10,1411,75583139,50155126,1214147,165981,0,263355,3128,34717,507,76,0,37
97907,129641,5085,437,0,708,58390,350268,13951,1296,10,1423,75688736,50004146,1217670,192705,0,250807,3127,45724,551,72,0,77
91322,112128,4119,384,0,538,53926,346934,12372,1129,10,1242,70633547,50210265,1389622,189480,0,286573,3128,41695,661,86,0,82
102557,140232,5363,511,0,769,59741,372671,14685,1326,10,1502,72788529,50440547,1325630,186612,0,280405,3125,35068,659,82,0,106
93945,116673,5285,425,0,622,54931,370950,12297,1106,10,1254,69081342,50264971,1419889,196477,0,300067,3135,46267,698,83,0,83
101902,140890,5162,439,0,712,62722,505302,14410,1260,10,1456,67471421,47798733,1307905,183324,0,287683,3134,38493,667,98,0,80
90968,96692,3996,365,0,524,57241,492551,12417,1128,10,1241,81578574,47748136,893635,122044,0,206601,2949,30158,630,84,0,74
103445,126068,5081,444,0,716,56797,486061,12055,1086,10,1217,94583929,47778550,509698,66780,0,149559,3134,25026,644,84,0,104
90555,97892,4320,407,0,559,63543,520753,14624,1292,10,1486,93867568,47780320,527160,70944,0,156516,3135,32988,637,74,0,100
102098,120911,5182,447,0,716,57847,493371,12357,1098,10,1283,93741784,47783590,490671,66363,0,140561,3134,31855,655,89,0,81
90595,103194,3964,371,0,514,63418,518605,14616,1293,10,1482,90602391,47749089,676906,95256,0,157424,3135,38419,646,84,0,81
101939,122688,5110,423,0,693,58379,506824,12391,1101,10,1237,103040460,47785181,536229,81384,0,80159,3134,28440,627,84,0,79
90566,96812,3975,351,0,507,63485,511570,13992,1260,10,1412,101414344,47800230,460850,76373,0,90409,3135,25557,739,93,0,103
103962,124725,5162,456,0,722,64744,532660,13498,1223,10,1476,78793915,47638692,1132840,183453,0,163845,2948,35072,676,82,0,96
93682,114573,5353,450,0,642,54706,383093,12181,1096,10,1258,79400107,47883556,1167527,170618,0,170398,3135,38970,700,97,0,78
101654,128543,5079,477,0,724,59898,407014,14348,1265,10,1462,86166256,48374137,928152,129837,0,179069,3134,46028,584,80,0,31
