CPU9,CPU9,CPU9,CPU9,CPU9,CPU9,CPU10,CPU10,CPU10,CPU10,CPU10,CPU10,CPU11,CPU11,CPU11,CPU11,CPU11,CPU11,CPU12,CPU12,CPU12,CPU12,CPU12,CPU12
INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES
69464,263727,19567,1866,0,1882,48345507,29052187,227491,32286,1158,22135,87153,439419,13790,1329,10,1404,386895,666150,30946,3297,0,2723
200292,478650,34119,3276,0,3364,67393186,37724706,68880,8490,15574996,28462,54083,340013,12390,1150,10,1229,13111,108956,4381,467,0,295
136809,304974,21039,2055,0,2004,72371133,44123679,334916,61332,15746304,16060,58077,356412,14300,1267,10,1420,23308,169509,6452,587,0,714
265874,384063,12957,1433,0,1401,11755685,9187748,391939,94898,0,1824,53689,337004,12313,1123,10,1256,15260,124660,2902,253,0,339
253699,376826,10041,1109,0,1028,118027660,49370978,352486,59357,516,318701,60683,429400,14586,1317,10,1466,7890,93509,1102,158,0,85
97757,119217,4997,419,0,702,124222350,48625272,74880,6143,509,369075,54749,378758,12402,1115,10,1256,5510,43993,1141,163,0,128
96693,115593,5028,428,0,704,122010646,48370182,65983,5691,493,385728,54331,382728,12110,1079,10,1204,3134,27683,523,79,0,59
90301,99799,4148,352,0,542,122952312,48704473,66914,5722,510,390451,60764,426962,14118,1321,10,1420,3134,30648,707,82,0,108
103382,125802,5087,453,0,749,123609409,48508665,70536,5942,505,374170,53825,372189,11931,1082,10,1162,3134,28431,587,80,0,43
91443,109554,5464,471,0,584,122281739,48706391,69412,6108,479,394982,60602,415660,14502,1291,10,1456,41271,114410,4939,551,0,729
97126,120274,4995,420,0,678,121625483,48604626,63554,5746,472,398702,54705,388587,12326,1107,10,1225,3123,31645,710,85,0,109
322476,413400,24678,2366,0,2624,39022300,17734478,174983,29817,403,116884,62172,480179,11827,1098,10,1316,3123,109265,707,90,0,103
544371,667420,22440,2806,0,2198,451788,770158,23927,3209,0,2489,519726,1509810,164423,26079,7,1909,32781,315550,6126,537,3,577
90498,100554,3934,364,0,513,16613,105427,5516,470,0,594,126330283,48601799,375437,35263,545,241872,75817,405547,13010,1219,10,1237
101056,129310,5108,436,0,692,11110,61705,3138,271,0,373,130002945,48523970,284063,22623,462,244558,60369,394072,13454,1208,10,1460
90261,96490,4106,367,0,498,23389,140280,6653,676,0,664,129157892,48406579,297368,23039,437,255192,51514,248354,12345,1111,10,1238
105398,154001,5498,493,0,867,20854,116896,4679,388,0,711,129088345,48031302,323709,27520,383,239382,65948,438214,12050,1111,10,1515
91910,98132,4188,383,0,516,3121,30617,525,82,0,33,129907449,48568600,332294,28019,315,246946,54871,388372,10359,960,10,1199
107343,141107,6332,501,0,821,3134,32215,735,90,0,107,131270930,48607675,324753,27967,357,235914,76465,397678,13389,1176,10,1417
90580,97311,4213,393,0,490,3134,25984,588,89,0,37,129212857,48527560,343930,28558,431,257671,60568,401655,13914,1298,10,1416
103841,124559,5195,487,0,745,3134,24539,570,68,0,33,128536493,48535840,290259,23301,525,258901,54283,374882,12116,1098,10,1238
90509,100649,4304,393,0,536,3134,30010,595,80,0,109,123414169,48774552,533395,59650,934,201664,60658,418040,14578,1309,10,1471
104655,126397,5178,468,0,745,3134,26291,555,82,0,37,129407570,48528512,362769,32148,663,200022,54246,373186,12121,1102,10,1224
90500,98621,3991,351,0,505,3134,26003,739,86,0,106,128695380,48606734,373030,32832,621,210287,84719,430515,15716,1400,10,1638
98006,120819,4978,428,0,675,2937,30317,690,90,0,103,126859045,48473181,424727,39862,496,214574,60415,392972,13332,1201,10,1442
90971,101489,4033,364,0,497,3123,31101,670,85,0,104,127089811,48634450,426613,38292,511,217019,54331,373367,12140,1100,10,1221
103933,133121,5117,458,0,725,3130,29987,638,82,0,102,128748236,48617811,371568,33220,771,195223,60233,430349,14301,1269,10,1433
90639,104585,4126,374,0,505,3123,29843,662,80,0,100,123827219,48622410,595324,88876,1635,134798,54786,384711,12383,1132,10,1263
93997,121825,5069,426,0,608,3134,32856,756,103,0,104,127343642,48642740,401287,49318,1125,136463,83709,470468,15741,1388,10,1629
103886,128107,5079,439,0,709,3130,33153,692,94,0,101,127845369,48619031,390572,48279,1314,139630,54412,377073,12187,1104,10,1216
90787,97887,4315,396,0,552,3134,30405,705,93,0,103,125530100,48802762,578464,84240,1370,127260,55678,419271,12276,1119,10,1253
104172,132106,5373,503,0,781,3134,29228,696,79,0,106,128956151,48741850,413630,49110,797,154479,60651,406869,14541,1295,10,1484
90620,101886,4084,370,0,524,8657,58193,2639,229,0,300,124970539,48648499,463432,59853,759,148454,53847,368289,12200,1097,10,1215
103917,129989,5101,453,0,750,3121,32300,748,90,0,102,127082575,48616008,451772,65333,1450,140875,60446,414564,14592,1312,10,1468
90647,101673,3905,352,0,496,3114,31608,795,102,0,108,134456890,48610107,471124,40020,253,170916,77975,436927,13802,1224,10,1445
98093,119377,5116,430,0,711,3115,32683,726,88,0,101,135034631,48594134,470101,48405,194,193512,53917,372382,11951,1077,10,1212
91070,102341,4035,352,0,518,3114,31672,676,88,0,97,135682328,48619615,450182,45597,189,191100,60490,413415,14624,1285,10,1473
101179,152317,7531,636,0,845,3114,27380,627,77,0,103,135268332,48337275,442860,44951,201,193759,52119,257871,12417,1122,10,1274
91073,97951,4136,378,0,504,3114,24163,573,85,0,43,135668467,48540099,421569,40157,197,201372,60683,416663,12557,1151,10,1433
104172,124834,5180,484,0,726,3114,31414,667,96,0,37,135200244,48532148,447903,44388,202,202482,53900,361172,9893,929,10,1141
90570,99704,4017,359,0,517,2926,34079,622,84,0,26,135376542,48633620,429161,41937,213,199128,83588,443160,13785,1282,10,1563
103844,134326,5397,478,0,755,3121,37944,651,82,0,93,135629931,48315555,431766,43924,181,191346,82445,436021,11277,1022,10,1491
90743,98257,3818,350,0,457,3125,33552,634,87,0,37,136470208,48542848,471062,48006,184,190400,76921,407102,10925,991,10,1289
104327,135589,5389,478,0,795,3125,42893,787,99,0,97,136398154,48389438,457515,46227,155,190323,61397,427740,12211,1118,10,1385
90769,105106,4050,368,0,509,3125,38065,649,78,0,107,136383163,48639342,502336,53550,172,187700,78577,410539,14080,1244,10,1468
97966,118587,5255,457,0,747,3125,38424,734,105,0,101,136090584,48719332,477405,50311,184,195761,83612,450038,15990,1408,10,1669
94238,115199,5082,403,0,610,3125,35247,679,79,0,109,136118345,48481836,495631,52654,184,190482,79946,294788,15453,1333,10,1709
96313,132692,5824,508,0,694,3125,32056,718,90,0,100,136032889,48623777,474249,49325,220,194385,79672,424139,14178,1274,10,1500
90983,102973,4030,368,0,529,3125,27489,627,70,0,99,136224363,48625318,417514,40781,220,196515,82638,429773,15849,1389,10,1651
98150,135216,6232,540,0,746,3125,27604,726,96,0,106,135747166,48599130,418435,40693,240,201024,76350,396623,13613,1189,10,1444
90956,101174,4329,398,0,563,3125,32289,697,82,0,105,136067104,48753533,395660,37667,225,204221,59725,405660,14407,1266,10,1459
98054,122695,5106,436,0,705,3125,29039,731,90,0,103,128627588,48620246,602239,82632,480,185477,77324,398653,13725,1226,10,1456
