CPU9,CPU9,CPU9,CPU9,CPU9,CPU9,CPU10,CPU10,CPU10,CPU10,CPU10,CPU10,CPU11,CPU11,CPU11,CPU11,CPU11,CPU11,CPU12,CPU12,CPU12,CPU12,CPU12,CPU12
INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES
21672,72250,1984,164,0,317,1025442,1431829,58706,6868,10,3254,357848,556956,28331,3115,0,2503,11344493,11037382,450045,34639,7857,46152
103934,177190,9215,785,0,980,53433,460974,10118,990,10,958,13051,84792,4878,431,0,483,3479445,2927520,104638,10245,80,7859
106325,176087,8628,813,0,941,278337,1357322,94851,8317,10,8603,21755,158413,7378,674,0,732,30325507,26331982,859179,41504,391,40081
91106,121514,4252,388,0,587,113176,910133,32765,2981,10,3089,3120,26548,733,89,0,99,86354304,42270119,806290,26702,1385450,60764
102159,156589,5433,509,0,790,64692,689130,14359,1368,10,1443,3126,28744,721,86,0,93,89617322,47847519,918890,18140,0,52621
89965,116680,3978,364,0,541,58871,653498,12100,1171,10,1231,3116,28267,677,88,0,102,89778115,47892211,918527,17975,0,52457
103232,168576,5432,522,0,677,57185,609321,12079,1165,10,1228,3116,28350,686,77,0,99,90870920,47827741,975662,17911,0,53445
89836,114492,4055,378,0,529,87909,843092,17422,1754,10,1795,3116,27372,570,64,0,98,89518058,47859028,921123,18479,0,52163
103622,166618,5537,576,0,771,57499,602323,10992,1089,10,1167,3126,28304,645,85,0,98,91075092,47854628,977112,17934,0,53556
91546,132127,5092,485,0,603,62750,664796,14044,1341,10,1369,3127,29136,673,94,0,88,92170254,47910542,1043501,17653,0,54158
103836,169885,5443,560,0,768,58293,635450,12212,1169,10,1214,3126,30775,586,69,0,90,91022718,47915206,935364,17701,0,52357
89919,118724,4121,385,0,539,63721,770567,13423,1413,10,1332,3127,28972,565,67,0,89,47781773,47882119,3101478,18563,40,21920
1773386,36756001,6983,880,0,924,1711696,36727794,12249,1294,10,1259,1672022,36481485,4577,468,0,420,83243171,47679576,742744,21979,578,17084
519546,9513821,1802,210,0,312,515363,10430989,12484,1189,10,1275,448526,9509344,1889,254,0,406,84524407,48598667,640898,87042,0,2152
90449,108909,4121,376,0,512,60859,434901,14595,1303,10,1468,3119,29176,688,77,0,95,95610307,48619733,317030,22341,0,5082
97471,138746,6163,558,0,720,53552,416331,10485,1013,10,1091,3119,30936,554,85,0,78,82335481,48648484,1431215,164946,0,2451
3888293,46376704,58700,1090,6912,1047,4129042,46450970,64153,1409,8074,1410,3818331,46296944,38230,940,6912,636,71451674,48602637,3027554,297206,38213,13825
1971604,41473911,4976,512,0,484,1960005,42481352,10167,1085,10,966,1888396,41437967,3606,389,0,227,47127692,48730241,4175814,168971,1,33039
107536,170962,7484,709,0,766,54772,395456,9439,952,10,1066,3126,25385,602,77,0,39,92949387,48555579,419068,70032,0,6651
96596,114547,4251,371,0,551,60066,444784,11051,1081,10,1358,3126,29717,674,92,0,99,80302224,48607073,1280090,216015,0,2574
96774,130863,5091,432,0,655,53407,481499,11056,1067,10,1170,3126,27677,673,80,0,96,78703972,48704526,2979046,468120,0,16863
96875,134124,4922,457,0,663,60166,416163,14474,1312,10,1459,3130,26418,600,88,0,38,95523198,48547304,82103,2405,0,3487
96793,114060,4961,446,0,680,54009,434430,12211,1156,10,1221,3130,28708,766,114,0,25,81244966,48571761,1613028,256304,0,2639
96629,127204,4968,463,0,646,102554,451513,35929,3222,7,3374,34873,426504,5608,581,3,491,59531929,37691206,1696191,282526,2119225,8767
97303,136286,5034,472,0,705,406409,1467958,136093,13058,0,11692,66106,444253,13894,1236,10,1511,12697990,9139504,383747,11835,871721,10156
90748,104221,4024,352,0,512,122088,428633,38828,3776,0,3178,53496,369311,11999,1097,10,1193,61518919,32825964,155869,6516,4791112,9456
98118,123113,4719,436,0,702,105849,446239,38109,3393,0,3564,60051,482391,14542,1327,10,1417,25523916,35599476,3055224,819651,561901,19074
97394,151212,5165,471,0,719,79788,423530,25841,2409,0,2673,54991,493394,12232,1159,10,1178,35220767,40461636,4433336,902700,107918,20050
3516467,10154794,227319,51241,303360,2996,3440748,10272140,273793,57403,317184,4443,3725579,10298461,232575,52287,303370,3512,85245535,40414957,948275,141937,2398121,54271
44329303,48510231,167875,7526,11676000,3742,44476782,48510207,176155,7888,11731640,3539,40505347,48547931,171292,8717,10502433,3948,77830462,48516806,909080,32835,11779691,32650
5466213,48620561,210615,6122,0,879,5341438,48620562,217452,5694,0,693,5776008,48521197,174105,6679,10,1276,96542546,48614337,3948912,585475,468001,44555
4844300,48367562,171954,4026,0,422,4939810,48368236,136486,3916,0,620,5240130,48360120,173749,4248,10,1147,116660979,48347891,3899797,584856,0,42718
1107436,24074089,2199,308,0,276,1102340,24072654,1593,145,0,154,1258208,25041344,10221,1032,10,1155,233752881,48433217,1001737,9892,0,31200
90637,96622,3963,385,0,482,3148,26191,551,76,0,36,60642,432248,14031,1286,10,1436,228463364,48531324,1035276,9586,0,31606
103387,124554,5050,470,0,725,3146,27058,560,70,0,41,53536,371673,12064,1085,10,1213,222672810,48526464,1019219,9515,0,30663
99043,151841,7275,648,0,808,3159,41180,626,74,0,88,61124,423936,14641,1304,10,1464,217089409,48602355,999979,9580,0,30532
98990,131964,6107,516,0,790,3155,32446,672,88,0,101,58738,460681,12980,1150,10,1360,211566232,48723210,1039366,9748,0,30563
90444,100528,4062,370,0,518,3155,33898,657,84,0,98,54979,406952,12152,1120,10,1214,205298273,48617388,1009095,9581,0,29783
97411,117630,5111,441,0,739,3155,28002,649,79,0,98,59606,404694,14329,1263,10,1422,199526006,48721410,1017177,9758,0,30985
96758,118731,4968,414,0,666,3155,31829,694,87,0,99,54710,376031,12330,1088,10,1241,200677258,48597444,1027169,10033,0,30995
96550,120345,4930,429,0,654,3155,31436,657,74,0,92,59775,408567,14355,1284,10,1426,234440705,48586360,1017993,10471,0,30986
90385,110933,3938,335,0,504,2973,32023,703,82,0,94,53446,368087,12210,1075,10,1187,229794703,48864870,999670,10030,0,31853
97879,120683,5168,460,0,749,3159,27127,539,79,0,22,58575,347053,13061,1170,10,1399,231306939,50539323,1029933,10229,0,32328
96560,125863,4903,419,0,652,3155,30434,670,85,0,96,58970,362724,14501,1282,10,1451,224394186,50454325,1052221,10491,0,33417
96791,118963,5033,427,0,654,3155,30857,736,93,0,95,48924,194956,12054,1078,10,1190,217577920,50290435,1046456,10222,0,32202
96604,121250,4969,410,0,672,3155,31921,646,87,0,92,59017,357513,14511,1293,10,1453,211628287,50419050,1047557,10346,0,32479
98282,127386,6033,477,0,723,3155,29336,691,78,0,91,52437,336684,11946,1083,10,1173,204985995,50374735,1045670,10148,0,33570
1159628,20669189,9686,707,0,948,1066263,20542642,5394,336,0,358,1109109,20686999,15577,1331,10,1431,208595249,49159220,695664,17521,0,30227
1241430,25314279,2795,259,0,456,1164207,25284840,1604,150,0,311,1234378,26198580,11511,1077,10,1201,237390410,49377482,2726,156,0,31523
90455,101375,4028,365,0,512,3147,31437,683,88,0,97,50898,275761,12064,1095,10,1200,236065342,50426326,1277,92,0,32507
97376,121163,4917,414,0,676,3159,30638,762,93,0,101,58359,334423,14417,1281,10,1476,230275904,50582406,2103,160,0,31762
96663,116394,4931,415,0,664,3160,28768,673,80,0,94,55012,377344,12367,1110,10,1257,218737771,49446923,1487,113,0,31858
96621,112999,4954,451,0,683,3159,26623,626,85,0,33,58444,378631,14205,1259,10,1409,208454892,48521345,4551,300,0,32085
90246,100680,4048,355,0,502,3160,26962,674,91,0,94,54570,349557,12399,1125,10,1263,202963264,48579175,2991,98,0,30352
103871,127173,5210,476,0,780,3159,29560,664,78,0,92,59065,366119,13011,1139,10,1361,197489510,48747534,2285,148,0,30908
91448,110219,5043,431,0,548,3156,30563,652,76,0,102,59769,383139,14592,1300,10,1436,216460193,48586815,40785,807,0,29597
103109,126310,5001,413,0,729,3155,23120,498,57,0,81,53522,371141,12094,1077,10,1198,232641471,48578873,2555,154,0,31363
89931,100687,3889,334,0,504,3145,33584,700,98,0,95,59765,388174,14456,1280,10,1437,226592384,48582134,2276,170,0,32117
103616,123823,5017,452,0,714,3155,27224,542,78,0,39,53340,349360,12134,1106,10,1210,220403102,48503483,1368,114,0,30368
89805,99627,3959,332,0,477,3160,30199,640,70,0,92,58974,388714,14326,1263,10,1406,214403804,48563215,3172,258,0,32028
103236,127906,5070,432,0,704,3155,31435,636,89,0,98,53998,263061,12930,1142,10,1334,208316437,48511299,4877,200,0,30936
89942,96293,4076,372,0,502,3160,27633,551,86,0,40,54151,332300,12433,1114,10,1255,208573501,50102515,3509,223,0,32715
103224,142376,5010,421,0,725,3159,26681,634,87,0,96,63330,362377,14895,1415,10,1524,202147174,50065638,2730,207,0,33053
6277495,31997637,227970,34769,0,6559,6147087,31972573,229482,36288,0,6177,6626525,32055636,196563,35710,10,6776,107002988,48893409,5212518,976390,3792111,33885
9664760,48661579,466071,28407,0,3169,9672206,48661755,466412,27791,0,2923,9319622,48663028,442978,27136,10,2940,43135642,48650526,6622796,1010902,596778,8621
