CPU9,CPU9,CPU9,CPU9,CPU9,CPU9,CPU10,CPU10,CPU10,CPU10,CPU10,CPU10,CPU11,CPU11,CPU11,CPU11,CPU11,CPU11,CPU12,CPU12,CPU12,CPU12,CPU12,CPU12
INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES
16544,87520,1416,178,0,205,55353,650727,8494,964,3,749,8231862,47112026,5027348,30770,7,21566,373626,670448,28565,3158,0,2471
3153,33291,453,66,0,92,59910,741855,11178,1189,10,1183,3060599,49048379,5772503,18601,0,651,125605,372084,8038,826,0,1011
3153,32917,724,100,0,98,60438,817284,12054,1273,10,1314,3049477,48895485,5750277,18651,0,644,104283,333058,6378,645,0,931
3149,37339,486,67,0,95,59244,701170,12931,1364,10,1316,3052082,49835536,5755506,18662,0,614,126621,409089,7546,774,0,1067
3153,37832,704,96,0,100,53277,704871,11075,1193,10,1169,3057983,50370064,5783244,18605,0,653,107290,392944,9494,898,0,1175
3149,35215,646,88,0,98,62977,825984,13860,1467,10,1426,3072003,50403436,5793726,18675,0,665,129184,429837,8516,893,0,1173
3149,31435,695,97,0,98,53048,738952,11097,1148,10,1174,3083184,50564399,5797216,18454,0,668,98901,285977,5890,590,0,851
3153,33059,733,97,0,102,60141,705691,12408,1271,10,1375,3058076,50371551,5768255,18474,0,599,104656,331118,6166,654,0,914
3153,32590,664,84,0,100,65522,937160,13186,1408,10,1392,3061611,50198719,5751273,18444,0,596,127051,449838,8193,815,0,1190
3149,27663,539,74,0,88,57443,627488,11949,1158,10,1180,21291763,47885683,1054654,21354,0,3780,100983,238265,8131,804,0,930
3149,28131,640,86,0,101,63200,663329,14395,1330,10,1408,22591991,47898230,801387,21475,0,3841,91999,133453,4770,419,0,537
3138,29912,662,104,0,100,57237,619334,11107,1053,10,1096,22565516,47778018,801300,21422,0,3857,101055,158106,5518,565,0,743
3149,28232,631,72,0,104,65226,678241,14738,1363,10,1456,22607216,47937586,803720,21648,0,3790,90070,112051,3827,332,0,497
