CPU2,CPU2,CPU2,CPU2,CPU2,CPU2,CPU3,CPU3,CPU3,CPU3,CPU3,CPU3,CPU4,CPU4,CPU4,CPU4,CPU4,CPU4,CPU5,CPU5,CPU5,CPU5,CPU5,CPU5
INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES
874640,1155327,49589,6629,0,5400,40368603,19153253,342927,39154,11,95288,2497633,4297258,191043,21522,0,24954,2003363,2509790,112384,14302,0,15562
1543528,1702225,69474,9202,0,11717,1489920,1887310,73452,9576,10,12064,17635288,17907595,744558,93748,0,101948,16728188,12874029,429616,44393,0,105170
105946,180028,9149,845,0,940,63187,426073,14474,1327,10,1526,21353920,21926030,861635,122837,0,140251,14130350,11793956,419771,44229,0,98797
1536114,1639426,67114,9062,0,11600,64048,482551,13530,1227,10,1448,19272050,19723223,784155,112756,0,132144,14974110,11913757,419444,45249,0,101194
13254537,13596008,546057,77701,0,95171,70762,445210,16513,1437,10,1810,1173946,2044301,108546,11455,0,13545,11803044,10221690,338763,35771,0,78108
12266375,12401107,501252,70174,0,87985,59534,355722,13841,1274,10,1447,305601,1328123,75683,7848,0,7040,10316511,7853296,284717,30216,0,63079
13660785,14020232,564157,80145,0,99371,65687,400524,15852,1397,10,1677,213531,686245,39858,4367,0,3619,11397854,8699572,310387,32799,0,72406
13829538,14064266,563726,79450,0,99848,65511,363421,14281,1384,10,1603,191404,702073,42393,4164,0,4092,11842172,8655349,294259,31039,0,69836
14181479,14438748,589323,82073,0,103995,74043,428387,14914,1376,10,1662,209474,729994,44533,4207,0,4386,11223154,8295806,291889,31183,0,67980
11779186,12083634,488532,69492,0,86219,71644,395951,10662,1141,10,1322,251018,988923,61537,5742,0,6189,10882345,8008462,283700,29831,0,68158
13422405,13820556,554307,79280,0,97640,63242,358015,13683,1338,10,1439,192427,682413,40259,3710,0,4125,12296708,8869674,311413,32701,0,73685
12045782,12408828,504197,70081,0,88783,65266,387455,15814,1426,10,1677,263636,1031402,63303,6000,0,6440,11241401,7946511,273455,28730,0,63190
15024001,15321960,612321,88141,0,106751,59477,355137,13523,1237,10,1440,148515,424003,24377,2255,0,2558,14041123,9764997,312873,34581,0,75583
13908200,14180436,574712,80628,0,101179,74418,399368,17383,1642,10,1892,241829,974678,58192,5577,0,5889,13223428,9196450,308793,32817,0,73401
14137494,14308231,578220,81532,0,96928,59175,349337,13567,1222,10,1444,187090,680102,40404,3960,0,3957,11727569,8330423,277342,30532,0,64745
14827009,15091880,609032,86970,0,106162,59770,363033,13427,1213,10,1455,154132,455337,26419,2423,0,2809,15020359,10162086,322681,33748,0,83164
13811973,13985616,574134,79910,0,97899,74476,402629,17394,1631,10,1880,206347,719778,43292,3997,0,4532,13134618,8869781,285705,31060,0,67989
15088585,15485068,624555,87577,0,111127,58475,345293,13451,1226,10,1414,148588,421868,24441,2272,0,2550,14738202,9751674,300787,32098,0,75387
13246926,13508581,540567,77939,0,94863,66463,382293,14558,1328,10,1571,201257,715494,43585,4109,0,4392,14676846,9482078,296521,31235,0,74126
13561995,13704704,549090,78539,0,94394,59947,359993,11053,1060,10,1363,198669,676802,38948,3680,0,4061,14247241,9225332,284072,31463,0,69392
14507533,14809432,600623,85065,0,105933,63838,386913,14351,1345,10,1534,154732,449562,26504,2449,0,2824,16724085,10362465,306614,32740,0,76871
13686413,13761405,567421,75664,0,93294,62915,315256,14355,1290,10,1633,219665,743026,47567,4492,0,4940,14277141,9122115,272207,28684,0,65420
8866394,9086075,366247,52015,0,65043,57754,356152,12715,1236,10,1263,15373062,10164043,321583,33832,0,76808,4401488,4538300,184658,26175,0,32326
124326,208484,12262,1191,0,1230,59204,372321,14470,1260,10,1458,16698332,10583602,309360,33864,0,78087,14563682,15026717,603639,85436,0,106872
11024427,7078533,221997,22421,0,55464,53270,355359,12188,1077,10,1202,4682427,3306176,103660,11525,0,23703,14446101,14612305,588813,83095,0,104362
17542349,10639608,313243,32530,0,80733,63019,381655,14860,1408,10,1502,94740,511366,32335,3130,0,3220,13391675,13695220,554540,76896,0,93368
15902633,9616571,273812,29589,0,67409,52866,328606,12223,1073,10,1228,122564,662763,41705,4139,0,4029,12847201,13182950,521834,73961,0,91002
19133344,10912595,288718,30924,0,77655,58859,353058,13079,1174,10,1381,72145,395949,25615,2361,0,2562,13930338,14311788,575998,81083,0,103764
15197199,9415384,281855,30445,0,69252,62487,371198,13269,1301,10,1382,125088,683150,43043,4174,0,4369,13213364,13399931,547110,75817,0,94381
18390034,10186195,247904,26362,0,75462,389021,488022,24753,3120,7,2829,306874,1390817,77170,7223,3,7786,7959499,8434571,354663,49628,0,58953
12783406,11477784,419470,73677,0,77703,4550443,5200759,228830,30177,0,40859,3255625,3929253,144706,19301,14,22380,4147176,4439573,196442,29240,0,26573
39218030,26053669,564458,69338,271,156268,71397,312829,24480,2216,0,2310,162007,732343,42501,3993,10,4136,83829,215492,11771,1320,0,1416
35365328,27183501,898203,91025,370,192914,173532,501771,33245,2878,1,3354,207646,779210,39870,3426,11,3820,121463,210310,7629,882,0,997
39535399,31750832,1267600,135550,1048,235943,147034,506734,35108,3417,1,3296,1299580,1828708,69833,7368,12,7482,2161711,2622600,84398,8745,413,25921
50967201,40924470,1670977,185507,1277,322060,322458,948677,66025,5843,1,6531,9837722,10819336,462847,35112,237,116648,7938877,7652197,225777,15312,3190,90750
58864029,47351926,2263333,265192,2840,414891,476120,1401664,82120,10505,0,6245,33976289,31186126,1124748,101706,925,329769,375934,1674872,91311,10840,10,7457
51500292,46719049,2026845,233099,1563,385322,14129865,15532041,296903,31831,2854,147204,32684763,28286824,929073,103952,762,241406,8779433,8232510,183518,20802,2361,101537
54524040,45918350,2106849,245416,2402,393753,6252179,7277527,156577,17983,1343,68770,18927511,19273245,701661,62648,580,179394,5331583,4393581,118673,10870,103,34418
6641770,5467277,209907,24036,88,37738,208135,596839,19261,1946,0,2091,7539946,6291780,167258,27833,75,34525,490596,1187019,56630,6051,11,5375
27473,132406,6706,627,0,748,1893673,1423869,34230,3677,0,10696,375612,754677,35564,4675,0,3646,582792,1357120,74645,8681,10,6784
2886419,3643164,160683,20842,0,26808,6134096,3146755,73865,8343,1,15654,773192,1659041,102274,12410,0,9265,123676,577821,38520,3493,10,3630
17624,94599,5750,572,0,573,5859631,3397106,122504,11507,0,18877,1789113,2819799,148007,18005,0,18702,132486,628921,43676,4040,10,4074
1786359,2071982,85862,11711,0,13132,2145434,3100576,161859,19201,0,21790,991579,1997045,119025,14998,0,11021,121713,571784,40994,3626,10,3855
1945563,2197079,91689,12205,0,14615,820792,903946,44599,5559,0,4816,2552787,2807537,138504,16997,0,20268,1730224,2064881,94410,11905,10,14972
231470,359983,26701,2752,0,2670,1700924,1946361,89891,11484,0,15083,2280407,2829955,160004,16805,0,23004,114759,488926,35285,3142,10,3445
2790347,3034916,131307,17695,0,21006,917544,1255839,60864,7655,0,6616,349500,1117741,87155,8637,0,8535,1469055,2006042,124501,14101,10,14882
222574,323589,18835,1759,0,2818,1159352,1466376,87975,8854,0,12730,192908,528656,37640,4067,0,3533,53559,229697,12420,1189,10,1217
31031,132495,8024,855,0,887,20852,105525,5923,583,0,631,111243,184672,10961,994,0,1256,59565,262077,15515,1401,10,1519
14905,82886,5617,457,0,571,15956,63679,3513,394,0,478,106812,157182,8984,747,0,1136,53764,225364,13074,1143,10,1359
14143,80366,5425,447,0,539,3126,25403,654,78,0,92,106246,158073,9077,752,0,1103,48622,224642,10440,952,10,1096
18237,81717,5928,580,0,638,3126,25321,650,68,0,104,130440,271050,18098,1676,0,1944,61261,267388,13962,1356,10,1473
3094,25285,709,90,0,101,3126,25060,651,73,0,109,112491,196521,12201,1144,0,1322,51240,229562,12403,1093,10,1262
3094,25055,786,101,0,101,14727087,7150382,58222,21646,0,11449,146597,263633,18420,1789,0,2137,60997,265190,13329,1183,10,1404
3094,25137,727,97,0,97,18643749,8200685,46011,4396,0,12817,113816,188605,11778,961,0,1381,58774,246703,13961,1370,10,1396
3094,25084,779,102,0,102,18735569,8213575,34195,2367,0,12776,108155,166639,10625,844,0,1176,50107,221310,12041,1067,10,1176
3094,26241,756,96,0,98,29497975,13020785,54774,3731,0,19926,118035,199883,12162,998,0,1452,56276,295420,14145,1247,10,1396
3101,26931,738,91,0,95,48173590,21394817,85319,5586,0,31982,116401,225108,13673,1225,0,1476,55856,329151,12296,1185,10,1231
3102,33497,781,95,0,100,66711859,29745346,118466,7707,0,44135,113458,182453,10746,864,0,1288,53171,359810,12003,1062,10,1197
3101,30191,743,91,0,101,73817080,34309048,152389,24842,0,55850,165924,483154,25301,2548,0,2752,62607,511109,14576,1280,10,1457
2880649,3718973,174653,22034,0,24393,4109289,5418363,230810,28090,0,31104,565227,2572326,126287,15547,0,10425,1042180,2363073,124873,14525,10,12909
1531652,1827262,87963,9619,0,13346,16334571,17482666,599386,146733,0,44485,690638,1737785,75683,10761,0,4440,1511449,2203897,77130,8881,10,12743
14990,119062,5032,532,0,470,47754435,47818411,1508209,423432,0,60623,106009,201177,6314,665,0,824,54019,503800,9844,979,10,1104
