CPU2,CPU2,CPU2,CPU2,CPU2,CPU2,CPU3,CPU3,CPU3,CPU3,CPU3,CPU3,CPU4,CPU4,CPU4,CPU4,CPU4,CPU4,CPU5,CPU5,CPU5,CPU5,CPU5,CPU5
INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES
37960114,17031888,254073,29150,1,80827,4189719,4869408,211944,25155,10,31758,1737220,2171309,97588,11975,0,14847,1245351,1700875,75688,9735,0,7972
13949591,10639647,362352,35566,0,91492,14277667,14660169,580067,79542,7,103337,1758023,2645488,132186,14489,3,17501,19375,138649,7197,563,0,748
13961932,11604592,407803,41940,0,96957,21264723,21544132,846512,116882,0,146212,217160,1069003,71730,6082,10,6919,99990,176311,8300,698,0,928
14789178,12074270,423995,43434,0,105851,21562079,21642000,847689,117953,0,142569,230747,1094326,69733,6008,10,6886,109006,184588,9363,821,0,1057
12999217,10070898,345005,35468,0,77979,16406229,16593662,651558,90486,0,113330,278935,1388364,93870,7933,10,8930,104331,196016,10230,843,0,1100
12386461,8379470,278819,31504,0,43814,13978466,14151832,570933,79050,0,100213,62666,444082,13286,1162,10,1451,344612,1189864,98613,8273,0,9387
16188879,10978998,343206,38072,0,54370,20715778,20514913,810949,113673,0,137627,72040,504847,15986,1466,10,1737,294659,869305,69050,5845,0,7235
16131196,10278567,315055,35800,0,50953,19074710,19110276,767009,105771,0,133224,62018,472195,13420,1180,10,1473,297136,895484,71117,5758,0,7464
16130559,10262517,318881,36371,0,51022,18842245,18889078,757202,104901,0,131527,73244,500739,16694,1434,10,1888,334156,993744,80420,6529,0,8606
16026639,10005828,308658,34788,0,48330,17714522,17798090,707365,99556,0,122123,67320,453809,14633,1294,10,1660,355314,1038875,83313,6857,0,8957
17674557,11093610,333181,38340,0,53915,20589534,20624755,826826,114644,0,142871,61713,476421,13006,1130,10,1402,286816,764202,60425,4969,0,6565
19960002,12091115,356877,40654,0,58655,21611609,21642795,871399,119778,0,147286,70212,489878,16388,1397,10,1754,97762,140676,6169,550,0,755
19964647,11976769,343154,39689,0,57663,21731248,21790420,860618,122429,0,147993,62287,437085,13440,1165,10,1486,91582,96107,3669,313,0,530
18768790,11293875,327061,37345,0,53941,19176535,19199630,758931,108082,0,131015,71723,493431,15887,1445,10,1728,102857,118413,4544,366,0,744
21568774,12453764,342935,39360,0,58349,22000185,21989798,886533,121920,0,147321,62942,475336,13374,1170,10,1478,91187,104951,4305,369,0,590
22583675,12818178,345073,39640,0,60863,21739472,22343941,858297,120416,0,148118,65800,455757,13876,1204,10,1570,102458,126009,4652,377,0,734
20429181,11852451,323522,37112,0,58234,19059015,18829543,744179,105096,0,119760,73610,514947,15560,1415,10,1763,91181,106445,3972,362,0,517
24310561,13468719,349525,40161,0,63255,21254107,21461203,860940,120252,0,150252,61078,437699,12760,1103,10,1389,102477,124759,4570,371,0,738
23092488,13019071,338402,38114,0,62557,20760119,20849335,836304,116437,0,142686,68030,510080,15363,1336,10,1658,94090,112146,5152,426,0,619
22147051,12260047,318290,36531,0,58224,19041729,19211866,788589,106467,0,134332,61047,438938,13153,1132,10,1463,102603,129092,5017,449,0,730
25638952,13738143,338499,38675,0,63950,20548347,20718050,837186,116171,0,145788,72819,523135,16401,1377,10,1837,91098,104693,4002,362,0,523
27377016,14385817,345516,39353,0,67686,20789125,20610908,818425,115013,0,131644,70584,447892,13848,1308,10,1608,102874,129576,5006,430,0,740
13037014,8393521,220776,25046,0,45818,5988405,6499217,274083,35480,0,46095,3869594,4425283,172073,22143,10,31223,5859695,6263168,262229,36392,0,41545
200059,481414,29451,2852,0,2974,83869,357690,26079,2229,0,2430,42255492,29573348,694755,83864,282,180116,7734162,6380407,212729,28747,3,30333
263001,500184,29362,2622,1,3123,189964,586028,36505,3029,1,3468,58321153,44396917,1497096,155512,757,314034,65431,519283,14133,1263,10,1460
379562,1109737,70757,6473,2,7253,8218231,9205951,377296,27333,177,90384,53423056,43895534,1747959,196480,1754,340268,9040695,9059466,269227,19985,3178,99349
378266,1350197,92073,8145,0,8738,23521529,21996892,815797,75935,553,226525,57109834,45816488,1880702,229418,2507,395415,1830252,3179935,131567,11038,659,31053
8152148,9598358,231243,22776,1580,79430,41347094,36669800,1147124,125407,3202,337963,53958191,46245988,1898451,218376,1804,395683,4979808,5689807,139893,14571,69,64015
8364064,8340740,209988,23396,1386,89154,27119541,22400981,711530,59638,572,227889,52469601,46561115,1997439,269116,1642,433683,3519891,5092857,142143,15996,56,47159
275613,898651,44397,3945,0,4654,12495033,10512013,338279,38661,1370,84109,27436071,20156791,795272,92956,1383,155291,708321,2197322,89335,9402,167,9018
115501,223210,11886,1096,0,1294,23209,119156,5510,516,0,649,73822,291796,16768,1844,0,1791,162990,1080523,44120,4247,10,3949
13504402,6913661,126459,13797,1,34476,2503982,3395406,155293,20142,0,20379,2962356,3872927,156666,20685,0,26206,507383,1368153,46882,5570,10,4840
1628065,2716235,155926,15456,0,18421,858316,1187021,63521,8120,0,6667,1774138,1975089,82592,10823,0,12985,1477106,2006079,89608,10185,10,14055
352082,519860,29648,2973,3,3083,2983712,2966588,128312,16475,0,22641,1136940,1313426,56241,7345,0,6093,2118318,2127514,82629,11043,7,14020
54900,266383,11170,1006,10,1265,1792998,1684951,80169,7623,0,15160,1775315,1978146,91884,11380,0,15344,502357,674339,42148,4058,0,5193
66997,327527,11196,1140,10,1322,2894712,3318984,175675,20027,0,26828,714898,846491,38349,4725,0,4236,28045,157557,9743,884,0,1017
59541,278810,9099,965,10,1043,13702,77910,4990,431,0,531,3015693,3372250,178669,18269,0,22961,1702499,1828605,80716,9839,0,12727
57837,273865,12082,1130,10,1341,27547,112191,8043,836,0,744,3230273,2731044,132525,11243,0,16236,22474,106310,7077,687,0,723
59106,292148,9973,995,10,1259,23142,114658,7701,713,0,805,2023601,2368906,162581,13678,0,18863,23755,115512,8052,735,0,807
57540,298920,10097,1014,10,1116,13042,76661,4832,424,0,500,101569,143653,7938,743,0,861,2010617,2459757,172287,14389,0,19987
58225,304104,9784,994,10,1300,23975,115613,5850,595,0,653,116871,191772,11453,1071,0,1179,2059516,2393317,164892,14300,0,18603
51194,295684,9865,918,10,1133,13255,76629,4948,436,0,512,98191,140710,7660,660,0,851,2058335,2386071,161716,13997,0,18623
66464,329019,10784,1088,10,1333,25032,99685,6463,547,0,783,125096,186182,10913,1107,0,1175,2071608,2665733,168714,14119,0,19664
61563,333652,10928,1081,10,1292,3129,25131,669,83,0,110,102605,135721,6747,669,0,771,2187506,2534281,173298,14945,0,19563
54568,300199,9811,927,10,1089,3137,24591,685,74,0,101,99355,119766,6013,467,0,739,2149579,2500607,171571,15110,0,19382
65791,335993,11813,1175,10,1371,3136,24968,718,87,0,104,97516,108286,4898,402,0,688,2139527,2513532,174693,14679,0,20354
55310,268286,9439,935,10,1172,22251,86036,4924,425,0,675,95404,104556,4073,308,0,613,2115848,2494505,171656,14983,0,19365
56010,299898,8706,841,10,1077,3140,24687,729,89,0,100,95502,98519,4028,314,0,622,2184935,2518772,172228,14853,0,19703
64756,332666,12197,1186,10,1449,3136,24196,694,93,0,105,95375,97936,3991,299,0,582,2371943,2630901,170535,16331,0,18199
58367,267439,8270,820,10,988,3125,24483,753,85,0,107,91068,88274,3441,285,0,508,2455076,2553328,163763,15642,0,17083
57767,304312,9914,1001,10,1145,3136,28367,669,78,0,100,98007,103494,4332,320,0,693,2280920,2626030,180217,15609,0,20527
62016,326027,10182,1071,10,1277,3136,24356,699,76,0,103,98058,120396,5752,469,0,771,2320174,2601965,174824,15851,0,19730
