CPU2,CPU2,CPU2,CPU2,CPU2,CPU2,CPU3,CPU3,CPU3,CPU3,CPU3,CPU3,CPU4,CPU4,CPU4,CPU4,CPU4,CPU4,CPU5,CPU5,CPU5,CPU5,CPU5,CPU5
INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES
48704,361678,4837,480,3,435,15566,59662,1553,118,0,242,36937541,16905434,227644,30319,1,70672,4039580,4755090,210522,25666,7,30953
1691930,2299986,98237,12220,10,14380,107104,184604,8342,816,0,944,12709586,10621082,366384,42686,0,70603,11198944,11610058,455909,64121,0,81716
57072,375124,12790,1145,10,1250,97797,148827,6076,551,0,716,13505176,11120987,378910,43880,0,74772,20411301,20554797,778576,112222,0,128804
65777,473850,13985,1338,10,1347,95585,177583,4742,406,0,638,14568461,12004573,381655,43675,0,52115,22762116,22545396,868405,123660,0,146958
62604,483092,15111,1292,10,1481,95531,118055,4471,373,0,635,13328201,9650022,336596,39065,0,46667,18909539,19150347,764441,106595,0,130255
56452,392037,11177,1043,10,1112,98093,125273,4942,428,0,719,10816732,8044030,280987,33862,0,38753,11674287,11867821,485680,65149,0,80896
65856,431962,15757,1427,10,1543,97553,117420,4708,406,0,678,13146761,9223121,306400,35958,0,45414,17389337,17585807,693954,98816,0,118337
57650,453693,12985,1144,10,1285,690834,1009226,35351,3615,0,7450,15165484,10304222,327804,38755,0,55549,19090550,19423336,762437,110843,0,130244
60763,415253,15081,1290,10,1476,104639,190188,9697,869,0,1077,13958173,9343059,309197,36345,0,47293,16095653,16268316,635630,92984,0,109112
64030,450207,14160,1317,10,1467,108955,217434,11402,969,0,1241,13538458,9029024,292532,34408,0,43654,16015747,16310444,661025,91413,0,111042
55856,396888,12898,1116,10,1268,96945,138527,6283,548,0,748,14010587,9197835,295284,35330,0,42945,15780391,16059752,641755,90884,0,111531
62421,451371,15261,1301,10,1492,100530,122332,5216,524,0,751,15939124,10294397,320502,37849,0,50251,17541276,17722753,692505,101628,0,117103
59084,397691,12968,1214,10,1298,95170,113512,4635,383,0,652,16143264,10065764,306275,35309,0,48433,17519695,17567249,675392,101083,0,109849
62050,446653,14951,1290,10,1503,95058,114549,4563,374,0,639,16361681,10426540,320658,37594,0,49091,19040735,19393055,780552,108798,0,135256
55601,389083,11782,1040,10,1179,100592,124622,5523,554,0,800,18232873,10978945,326578,38293,1,52207,17735943,18001816,702754,102453,0,119802
65102,412867,14160,1308,10,1409,97184,123192,4811,402,0,705,19676083,11516865,324415,37392,0,53899,18310063,18623622,729986,105383,0,123978
62012,407009,14846,1328,10,1516,95170,105241,3897,307,0,630,18661017,10879804,307609,35546,0,50877,18782149,18624762,765571,101661,0,119021
54474,373891,10112,910,10,1080,100770,125767,5367,548,0,745,19256973,11154770,311685,37055,0,51607,17551176,17808862,702860,101941,0,121975
64088,421627,12249,1211,10,1463,96602,121562,5662,457,0,683,18698667,11092590,313040,36861,0,53291,17515254,17652801,695267,100799,0,117250
54245,387899,9980,935,10,1145,97455,117831,5049,448,0,735,19944742,11423605,311133,36663,0,53482,17668402,18044654,719485,102109,0,124354
61666,421708,11762,1119,10,1391,97088,115538,4965,418,0,707,19550602,11339989,312473,36984,0,53163,17368914,17925293,722076,102497,0,124042
64563,426742,11683,1208,10,1378,16175470,16665491,666777,93172,0,116192,21320542,11939349,307742,35499,0,57123,764616,1169596,60948,5887,0,8738
62465,417284,11439,1062,10,1399,17158551,17427067,695720,97666,0,121815,21529164,11964831,304463,35928,0,57078,50702,135533,7942,960,0,745
61867,424495,12649,1169,10,1469,17374197,17723263,711637,100208,0,125624,20469316,11372828,301364,35486,0,52576,40986,150511,8425,890,0,837
