CPU2,CPU2,CPU2,CPU2,CPU2,CPU2,CPU3,CPU3,CPU3,CPU3,CPU3,CPU3,CPU4,CPU4,CPU4,CPU4,CPU4,CPU4,CPU5,CPU5,CPU5,CPU5,CPU5,CPU5
INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES
38423639,17517583,268706,30232,1,85344,1772083,2115416,87750,10274,0,12614,4486754,5935497,301179,38471,10,32482,914058,1229698,50600,7395,0,5847
16442507,12331162,392627,43246,0,91976,20514717,20551362,791310,111876,0,135831,58399,336220,14660,1286,10,1458,114734,233524,12119,1166,0,1189
11733045,9867895,350957,37993,0,83019,17525895,17731015,685149,99984,0,117345,56004,332941,13163,1232,10,1323,100627,197848,8838,769,0,911
16946254,12281583,419322,47549,1,62442,25144536,24854287,951966,134826,0,151929,60989,378706,14440,1327,10,1468,104091,272698,9763,817,0,1066
13124822,9190346,302940,34432,0,46135,15938218,16125868,657763,86988,0,101520,63290,334103,15740,1424,10,1635,93915,138749,5752,493,0,674
15535343,10444376,334002,38279,0,51940,18966887,19217211,757677,106886,0,132670,72705,332525,17255,1445,10,1711,91599,113137,4179,350,0,600
18436084,12065252,378365,43485,0,58480,22221178,22363719,882005,123854,0,148510,64672,443298,14678,1351,10,1556,98320,143408,4916,404,0,713
17461080,12227145,341784,39237,0,53765,20654877,20618811,793711,115372,0,134471,54955,388600,12345,1079,10,1269,91172,107106,4188,362,0,512
19647913,12459229,380326,43628,0,59466,22127355,22231931,861921,123525,0,146909,58111,335734,14529,1237,10,1488,102541,138981,4618,367,0,728
19954872,12207650,359506,41508,0,59910,20509517,20715770,807584,117287,0,139487,61638,515868,12533,1166,10,1282,92367,116817,5039,430,0,585
20611823,12552238,371500,42730,0,60768,22714379,22554726,886074,127417,0,151025,70749,553592,16278,1360,10,1703,106027,132361,5259,515,0,686
22192289,13347764,383499,44603,0,65586,24795129,24677603,970123,139410,0,161261,64373,561563,13911,1283,10,1444,91009,105718,3937,355,0,520
22869442,13246239,365803,42201,0,64487,22050783,21926444,854430,126088,0,142687,60876,506854,12356,1136,10,1291,104003,131654,5086,433,0,726
22043586,12709454,349880,40463,0,60477,21679593,21273321,823678,122045,0,132845,63824,531200,14519,1256,10,1506,90813,107830,3911,355,0,526
26364160,14596310,380015,43930,0,69500,24844498,24371861,937635,138576,0,152692,67859,533447,14083,1233,10,1536,102293,130479,5049,438,0,734
21865324,12493951,340295,39815,0,60000,20313360,20398193,807663,116316,0,138202,66471,514246,14720,1318,10,1502,90762,105825,3892,340,0,519
27625620,15282296,394300,45731,0,72929,23573768,23640862,945324,132892,0,156242,57262,480409,12168,1035,10,1248,105903,132719,5290,526,0,773
26127817,14350462,369871,42261,0,69554,21530479,22231255,846786,122555,0,143354,58781,524795,12346,1066,10,1248,90812,103935,3939,354,0,534
28997208,15504060,380521,43611,0,73665,23317410,23282478,922153,132281,0,154373,66066,534186,14512,1325,10,1467,103750,146021,6021,482,0,798
26485991,14061434,344008,39524,0,66424,13443330,13643047,546466,77584,0,95439,58090,515543,12233,1069,10,1245,5954814,6142337,244420,34180,0,43606
19185741,10892900,274092,31815,0,58942,11987211,12362846,510410,73085,0,81964,5688399,6235926,239581,33108,7,49025,5145571,6055793,234721,32386,3,43151
