CPU2,CPU2,CPU2,CPU2,CPU2,CPU2,CPU3,CPU3,CPU3,CPU3,CPU3,CPU3,CPU4,CPU4,CPU4,CPU4,CPU4,CPU4,CPU5,CPU5,CPU5,CPU5,CPU5,CPU5
INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES
1681302,2058317,85456,10949,0,13028,3544812,4147253,183015,22904,10,24570,37618913,17527357,282929,30461,1,80664,3030779,3875628,180560,22343,0,26018
107861,202008,9698,894,0,1024,55330,401808,12569,1123,10,1227,15529340,12076496,403426,43088,0,80677,17613651,17833990,675690,99547,0,115347
110795,183779,9963,900,0,1100,62394,430486,13953,1308,10,1456,12947549,10604750,376332,42437,0,60634,20399277,20555312,789791,115757,0,133673
105689,204547,10703,889,0,1166,64530,488875,14277,1401,10,1408,15414963,11337532,390397,45570,0,51500,22302202,22508809,874110,125943,0,146511
99711,161220,8456,722,0,905,55798,414489,12412,1137,10,1244,12140809,8995786,317765,36814,0,43899,15314726,15467901,610849,88032,0,104892
96471,138502,6516,580,0,760,60383,429158,14543,1276,10,1440,10528700,7900234,286135,34082,0,37145,11876295,12263595,497936,69537,0,86332
97414,118172,5048,443,0,686,57605,375227,12816,1246,10,1245,14374060,9728156,321624,37353,0,47758,18841480,18983707,724987,109438,0,119127
97065,118517,4988,439,0,687,59689,410556,14630,1282,10,1455,13299662,9163448,310055,37517,0,42438,15581875,15782753,628994,90877,0,106254
97244,117423,4993,416,0,693,53733,383080,12279,1094,10,1188,16048524,10346671,327493,38816,0,50180,19253763,19520069,765875,112906,0,131214
98696,127608,6184,511,0,761,58514,385746,12691,1234,10,1272,13715481,9243864,305764,36333,0,42761,14808686,15075737,590696,87205,0,101269
95334,110120,4501,394,0,565,58917,417141,12877,1168,10,1300,15289046,9830781,318236,37975,0,45974,15021049,15440533,618229,88789,0,104510
97189,116579,5017,456,0,703,54811,375525,12524,1112,10,1262,15953001,10367562,318719,37413,0,50945,18388692,18888614,752850,108282,0,131565
95287,114129,4660,408,0,629,63858,413471,15112,1394,10,1494,16207367,10345332,325329,38798,0,48478,18885668,19203783,756390,109824,0,129648
97214,119740,5077,423,0,697,54752,382849,12484,1121,10,1255,17551220,10987993,328781,39110,0,52588,17783988,18023007,705480,104143,0,120758
97051,118171,5093,448,0,686,60462,427285,14677,1280,10,1441,17458258,10709079,324250,38744,0,49705,18340651,18579533,746945,107581,0,128559
100623,121445,5419,575,0,722,62631,469239,13456,1280,10,1394,17976680,10810530,313972,36869,0,50024,17472273,17981779,716048,103087,0,124444
1538386,1665577,64770,9190,0,11130,55961,369273,12764,1131,10,1285,19884122,11667965,331994,39426,0,53692,16430881,16741162,673182,95612,0,110462
6677466,6832267,270997,39563,0,44889,65004,263778,15490,1518,10,1594,8425595,4824438,137342,15533,0,22464,811160,948521,43627,4607,0,6838
5092377,5140777,210314,28942,0,38296,51682,239085,12504,1090,10,1246,5366872,3601166,118715,12161,0,29255,40526,133415,8874,935,0,770
4443770,4543397,184975,26451,0,32679,56353,248132,14636,1278,10,1407,5813978,3663969,120079,12204,0,28917,43711,126375,6914,845,0,656
4419186,4437352,177139,25267,0,30902,60469,244403,13923,1306,10,1448,4523016,3384774,126385,12973,0,28904,108201,194797,9772,945,0,1102
5460025,5509711,228289,31417,0,38967,50327,223407,12261,1083,10,1178,4938464,3074491,94590,9692,0,24085,104827,150178,8500,780,0,912
4358302,4461734,184181,26056,0,31980,56895,251021,14647,1296,10,1432,4757775,3457014,127941,13249,0,29007,103620,184067,9129,791,0,1041
4590193,4649593,189828,26741,0,33423,54525,226215,12713,1229,10,1250,6776260,3942895,105563,10985,0,29774,101936,124697,6367,603,0,714
4447101,4345089,186844,22423,0,27956,54439,230193,13185,1160,10,1347,5071706,3508025,130779,12952,0,27767,100970,119735,5196,534,0,729
5371526,5465572,230904,30724,0,36638,56183,249217,13014,1172,10,1325,4825404,3222706,107499,11086,0,25538,97287,103214,4495,333,0,686
4147085,4221552,175223,24537,0,30170,54462,226586,12832,1216,10,1263,5543669,3612313,123501,13170,0,28072,97372,114437,4695,435,0,671
4936496,5013455,206348,28603,0,37167,56121,255395,14417,1287,10,1422,5521678,3679981,110346,11266,0,31050,98830,118139,6181,488,0,743
4426770,4486093,187972,25091,0,32294,53541,231795,13079,1137,10,1316,4819050,3307893,126149,13363,0,25549,129325,245052,15050,1124,0,1762
5361371,5361365,215397,31853,0,35650,55310,228540,13185,1251,10,1285,5113810,3347064,109499,11606,0,26553,99015,392068,32958,2845,0,3062
4289958,4353935,181642,25030,0,31006,55599,251613,14449,1263,10,1392,4941070,3450170,127630,13158,0,27984,143406,419736,27786,2993,0,2508
5072769,5084261,208881,29057,0,37493,50531,196517,12450,1104,10,1240,5807789,3604997,111908,11509,0,27410,3152,25127,790,96,0,103
4535089,4606907,187769,26408,0,32869,59598,240698,13588,1290,10,1401,4621275,3131222,117628,12224,0,24722,3148,40744,761,96,0,98
4574951,4637613,189739,26852,0,33184,55543,247921,14481,1259,10,1403,6903367,4058977,116679,11947,0,31617,3148,25015,734,85,0,99
4382477,4398366,184636,24768,0,32412,50637,221669,10676,977,10,1079,5143326,3319107,116995,11858,0,25423,7932,55918,1100,139,0,147
5146296,5225176,219565,30040,0,36170,60873,260192,15356,1436,10,1498,5615390,3533332,113550,11837,0,26692,3149,25321,704,80,0,98
3858446,4015994,167271,22577,0,28914,52412,199533,12906,1150,10,1334,5998647,3798399,131354,13380,0,28952,5540,43923,1064,131,0,139
5539097,5508648,225916,31070,0,40414,50844,224480,12407,1070,10,1208,4967355,3202933,102256,10821,0,25428,3148,24921,717,86,0,103
4139663,4234335,173569,24823,0,29171,60578,257345,15322,1405,10,1526,5805282,3570422,118100,12487,0,27403,3148,33168,677,79,0,95
4700694,4736292,196323,27694,0,33965,52154,226613,12646,1128,10,1259,5891264,3731183,115689,11903,0,29806,102736,122314,5109,436,0,720
4453047,4579390,186103,26340,0,32654,55617,233897,13182,1130,10,1342,5933606,3573901,115322,11952,0,26939,90550,123596,3855,348,0,466
4468369,4747148,186669,26346,0,33033,60416,263356,14936,1389,10,1491,5129789,3412091,117467,12097,0,26834,101881,133749,5029,437,0,721
4491280,4578136,185767,26575,0,32638,51135,224647,12420,1085,10,1235,7048816,3923645,109931,11279,0,29138,91080,105900,3263,299,0,488
4456040,4493179,188845,25410,0,32459,56089,254308,14452,1250,10,1414,4716255,3155512,113249,11344,0,24630,101566,131228,4965,434,0,703
4582797,4713170,192350,27297,0,33066,56013,205047,13441,1244,10,1365,6773459,3888031,114081,11892,0,28875,91003,92102,3638,288,0,502
4236566,4202357,178902,24031,0,31333,51306,228205,12455,1106,10,1223,8112114,4333900,101426,10524,0,30438,107209,128502,6592,612,0,804
621277,999160,57344,7169,0,6073,56321,259991,14380,1271,10,1417,5354522,3604290,129480,13395,0,30381,987752,1101170,46489,6068,0,8530
2299838,2616777,128791,17496,0,17577,2157785,2213269,76101,10209,10,21204,1207070,1708239,95134,10668,0,15406,1632517,1990701,104178,13587,0,10973
821281,1038992,52482,7440,0,5455,4155119,3903651,151083,23103,7,28624,954969,1285946,66063,8787,3,6860,2685135,2834826,122912,13946,0,28279
37102052,26319321,600531,69532,256,155973,6311174,4310582,149530,21182,0,17137,171744,783891,29487,3150,10,3010,218881,391391,21149,2374,0,2418
60333551,47307641,1613447,170573,743,323246,162164,504594,28516,2432,1,2586,72574,607279,15482,1535,10,1503,311829,712044,42936,4094,1,4328
56741725,46779270,1833232,206572,1769,361835,7997772,9186713,386111,28062,177,92004,8934386,9062252,268091,21107,3178,98609,371160,1226426,83188,7550,2,8126
59754666,47761106,2031473,234596,2568,401245,26427406,25250245,961920,86645,766,262385,1822431,3226063,133131,13177,659,30054,419578,1464454,92914,9686,0,8398
30636574,27252813,1161048,126642,3094,274560,33960030,31411449,1073030,118918,820,281384,5564203,5576162,84559,11769,23,22164,26974980,27312645,1011799,117520,1803,245753
10631937,8672729,201071,19815,1349,102084,22816923,21120637,729741,65055,568,219086,3987546,5029084,137653,14940,146,52868,53740780,46750271,2127064,243992,1637,420225
30989693,24169726,972399,112830,1311,180087,1457856,2371235,97310,12177,0,13982,8759935,9195040,335287,31691,1336,92000,7305368,7107626,172526,36875,10,20030
2298695,2736944,123087,17508,0,17114,584844,700874,33384,4181,0,4396,210581,1189478,82104,8583,0,7160,12173178,6149362,146081,14697,11,29174
1012519,1143012,51743,7257,0,5706,2181191,2524109,127207,14890,0,20578,255800,953343,75166,7600,0,6665,613142,1202441,74633,7910,10,7453
2267009,2033394,87178,10892,0,15029,1162432,1358844,57133,8084,0,6214,3323096,3995371,192507,24459,0,29521,62306,298828,12689,1271,10,1405
1936274,1987241,103699,9763,0,18198,1702801,1938952,90012,11617,0,15044,487311,1192192,87541,9178,0,7938,69348,264192,13952,1463,10,1412
1455873,1926714,123441,14209,0,14799,892812,1137142,49328,6759,0,5461,2111732,2885839,151118,19018,0,19925,49933,269678,11309,1029,10,1195
18662,104604,7244,615,0,714,1294269,1701528,100686,10931,0,14445,1230447,1595298,89065,10651,0,12047,61824,281629,14765,1454,10,1498
19662,93530,6470,643,0,625,106805,160007,9917,948,0,978,22731,93879,5951,551,0,616,49855,226452,12324,1083,10,1194
26065,106049,7654,792,0,711,108187,162228,9661,818,0,1099,28800,112217,8005,738,0,790,58658,246893,13570,1206,10,1417
19433,108960,7463,605,0,750,4382129,4039133,85130,9656,0,20070,87926,431207,34166,3294,0,3191,61012,266395,15371,1439,10,1497
16012,84524,5537,492,0,569,534708,1662436,161642,13234,0,15892,297629,1427834,115871,12000,0,10663,51096,224499,12467,1097,10,1266
3133,25163,749,89,0,104,625708,1967472,191420,15409,0,19080,327600,1024902,64041,12540,0,1240,56040,263223,14392,1250,10,1415
155688,440937,39617,3481,0,3693,115446,189772,11073,1064,0,1204,106448,370320,23484,3831,0,1217,56391,211795,13595,1265,10,1390
532298,1899763,188133,15144,0,18593,101776,145401,8187,800,0,869,312363,1358949,101695,13561,0,7157,50263,233442,12110,1074,10,1220
557178,1872810,183721,15848,0,16914,124268,197885,11375,1191,0,1235,340021,1111356,67706,13131,0,1444,56346,251656,14493,1270,10,1451
528822,1724263,167155,14796,0,15286,96181,119137,5922,527,0,709,306105,1006524,61668,11995,0,1284,54030,224555,12559,1186,10,1232
571254,1931152,189739,15724,0,18564,103907,132238,7008,562,0,863,331929,1038050,64065,12565,0,1115,58170,245573,14039,1200,10,1441
621709,1883690,180863,16612,0,15875,97519,106535,4752,376,0,672,365086,1155244,70628,13824,0,1309,58296,253126,15396,1309,10,1538
638251,1990807,192838,17410,0,17486,91320,93997,3964,336,0,549,360996,1145584,70647,13912,0,1223,55840,241037,13298,1225,10,1327
610900,2053825,200676,17000,0,19380,98155,104317,4509,340,0,686,361885,1140484,70320,13783,0,1277,57883,258010,15144,1279,10,1532
629143,1933050,188980,17058,0,16519,100940,112219,5264,520,0,707,360799,1147702,70791,13901,0,1171,55142,209866,13932,1188,10,1420
1381464,3137351,237397,31733,0,9918,95436,116008,4689,376,0,616,815355,2186376,18731,3516,0,2619,59537,455531,12833,1203,10,1245
