CPU2,CPU2,CPU2,CPU2,CPU2,CPU2,CPU3,CPU3,CPU3,CPU3,CPU3,CPU3,CPU4,CPU4,CPU4,CPU4,CPU4,CPU4,CPU5,CPU5,CPU5,CPU5,CPU5,CPU5
INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES
2252304,3092185,142987,16546,0,21118,1660040,1956067,83311,10797,0,12903,1458289,2818898,117494,15631,0,11207,40062493,19333050,363406,42747,11,96699
8845529,9419648,385571,53031,0,66765,5368898,5688510,225349,32139,0,38331,175316,1184753,45471,7026,0,2815,13533649,10449024,349961,35893,10,84552
13579389,11505681,413522,44658,0,95886,20718432,20820766,807772,117453,0,138471,196515,923965,48083,4878,0,4435,55942,476214,10480,1012,10,1220
13798829,11043442,387765,45007,0,81814,21973491,22151861,880330,126218,0,153313,206436,984771,49558,5111,0,4677,72195,633683,13498,1321,10,1369
12398758,8791899,303496,35988,0,42499,17147611,17165781,685110,97815,0,110504,244243,1306300,69809,7001,0,6311,64830,655163,10948,1173,10,1156
11324239,7899117,271929,33028,0,37179,13248360,13562847,544958,78762,0,96162,272604,1573194,82955,8348,0,7380,56069,681438,9266,892,10,1013
17294574,11571541,368170,42969,0,54957,23403011,23196831,907459,133306,0,152261,191621,807089,46061,4639,0,4207,67068,668927,12921,1253,10,1440
17189167,11066639,347757,41705,0,53216,19624412,19910017,786743,116056,0,135639,210390,1016647,55974,5640,0,5092,61655,623477,13537,1317,10,1257
17083403,10880043,343468,40219,0,50994,18945131,19000579,746411,107324,0,124439,241968,1233735,66740,6641,0,6309,62829,628106,13017,1165,10,1426
18284825,11344454,345511,41274,0,51918,19199190,19353916,756301,111669,0,128162,233035,1096440,57366,5607,0,5521,60211,609242,10196,974,10,1206
21877330,13407894,393567,45948,0,63457,25005250,25210395,992202,145458,0,170802,180247,691097,38976,3743,0,3885,60909,583705,9766,1040,10,1104
21169340,12874007,375163,44287,0,60966,22127326,21999378,863666,126378,0,140533,204737,932975,49600,4937,0,4866,62894,642761,12928,1176,10,1439
22435806,13519999,386630,45487,0,62377,24629988,24371273,947729,140767,0,157890,175879,749185,38724,3808,0,3759,61005,598608,9904,928,10,1229
23799946,13873026,385392,45216,0,64864,23478795,23255970,888446,136009,0,138947,210998,952620,54136,5200,0,5084,65670,590491,10985,1177,10,1295
21836176,12697556,354669,42608,0,58324,21012504,21025745,836703,119757,0,132771,201751,942638,49100,5191,0,4279,57464,602505,10286,971,10,1223
27122538,15141226,389276,46098,0,70899,24068680,23538205,980011,129195,0,136712,181568,788954,41907,4292,0,3910,63855,633200,11449,1091,10,1441
23650990,13165645,345630,40803,0,60052,20295379,20504584,834018,117262,0,141498,207861,997830,50846,5581,0,4390,61585,645432,11000,1031,10,1351
26048784,14577565,376576,44685,0,66624,24677546,24764688,983566,144506,0,169741,165546,727526,36607,3713,0,3367,61054,565497,11726,1141,10,1248
24621293,13600726,355209,42329,0,62176,20626779,20943559,846733,120633,0,145235,201279,887794,44728,4865,0,4025,63610,620134,10644,1039,10,1278
28837031,15310986,367244,43132,0,69557,23487400,23031940,885265,134581,0,140081,173826,716188,35899,3698,0,3562,57497,545064,10329,959,10,1117
29307599,15321791,349264,40590,0,75589,19780999,19508192,759550,112044,0,125474,221024,1020267,54276,5336,0,5323,70627,637670,12533,1265,10,1503
181395,540296,33784,4722,0,1761,20975306,18398505,606787,105529,0,124487,4854090,6710058,278420,46406,0,21214,5171814,6844324,268121,27342,26,38754
34613779,22980894,503592,57547,254,138805,28881690,22490536,667526,78730,159,161383,374119,870585,46788,4859,1,4431,166392,756472,28330,2873,10,2701
8906101,8955080,260618,19617,3171,103080,57314544,46484063,1814844,199831,1476,344773,370683,871889,55102,5162,2,6036,2875871,3486210,134958,10986,41,25816
264269,1308531,67270,6582,10,6391,66010534,47549708,1747283,208683,1660,375094,1827838,2587157,104504,9260,649,28594,10550901,11387806,489769,36180,239,127451
40383962,37901736,1321314,117735,1175,366552,49324480,46951535,2241687,275754,2750,413431,4990204,6878053,162829,20931,46,64506,5111562,3969222,107720,14102,13,23807
30462552,25126946,913395,97690,708,243185,491801,1408713,67757,6359,13,8919,15379520,12901397,252668,23766,5082,174358,55576643,47674449,2238955,266028,1529,437433
8759309,9488496,340801,36872,181,78376,34015008,27711202,923210,137680,1346,182283,12193781,13196922,398307,33560,1479,135102,21176143,17622787,751291,89113,918,150668
15651,76715,3727,426,0,439,55482,237150,13222,1222,10,1301,102968,157632,8395,831,0,944,15670,71911,3735,475,0,386
42386,177355,13541,1191,0,1371,134109,367341,23586,2433,10,2284,872281,1472470,84459,9960,0,8793,1947622,1787657,70692,7371,0,13771
79463,342879,28507,2337,0,2882,2924710,3547487,169534,21609,10,27338,794594,1378463,94142,10791,0,8902,2278648,1753171,69613,7769,1,11617
78999,325452,27421,2315,0,2727,54714,235186,13166,1222,10,1297,1741076,2344997,125253,15471,0,16438,9437675,4070289,86315,8173,0,17731
99141,418860,35255,2933,0,3538,1853483,2138179,94142,12611,10,14040,1099946,1890665,117897,14765,0,11262,1871961,2556006,148241,16703,0,17472
2278216,2345540,111361,12597,0,18581,1754699,2096000,102261,12704,10,15565,792455,1461786,88960,10717,0,7938,733755,997656,48147,4942,0,8428
1724117,2025455,104583,11700,0,15376,1795860,1780343,78430,7896,10,15078,2304977,2952594,155505,18922,0,21348,103693,180477,7817,795,0,803
130933,595280,52372,4540,0,4818,646517,890179,40775,5155,10,4318,1573175,2645545,174727,20053,0,19280,1584162,1817063,77078,9587,0,13182
47469,148975,10361,1067,0,1038,1515199,2033418,102521,12022,10,14649,374987,812530,57003,6655,0,4895,1542624,1706857,67306,8955,0,12090
32625,134509,9052,887,0,977,2745609,1391390,20484,2458,7,3660,65037,285424,17472,1789,3,1673,103150,131873,6807,542,0,823
26886,141390,10572,891,0,1030,8609366,4241590,48175,9303,0,9068,94674,597631,25277,2462,10,2531,103624,168170,9950,859,0,1055
18643,90439,5481,500,0,618,44543,161214,14118,1193,0,1370,55775,260998,15145,1420,10,1450,108280,156171,8922,960,0,913
38813,163653,12366,1145,0,1303,932461,1084991,57009,7088,0,6068,390585,879825,59260,7197,10,5289,1474681,1608351,70913,9094,0,10783
142424,589273,51386,4474,0,5143,2213652,2673840,139019,16933,0,20595,787141,2187649,155617,17652,10,14450,2015102,2367982,113754,13495,0,17420
90210,401615,34083,2980,0,3329,2928019,3061989,127711,18141,0,21585,1900748,2719841,142577,17631,10,19103,2088506,2584741,129223,17081,0,17578
51157,253893,16342,1558,0,1744,5577707,5132786,226034,44747,0,13880,154444,704691,49560,5062,10,4617,36797,180309,10467,1099,0,1052
13633,82189,5172,444,0,518,9992615,8211467,303033,70212,0,13124,50761,224724,12490,1106,10,1264,105395,161915,9730,850,0,951
19096,94999,6364,504,0,619,10251724,8599056,310323,72848,0,13216,60693,294750,14040,1315,10,1470,103565,149973,8483,706,0,945
120838,240921,13486,1338,0,1303,11082572,7882972,134274,31554,0,6451,847265,2141252,131727,16467,10,11803,109564,258309,7215,739,0,931
178338,319937,16271,1604,0,1664,204200,371268,11721,2249,0,1186,1453177,2739966,154134,25935,10,11257,113185,195981,9767,997,0,1048
293094,377011,19997,2087,0,1932,201499,364793,10905,2307,0,1236,1541890,2487863,128736,23236,10,5145,104982,193088,10345,897,0,1086
113182,175115,10057,1020,0,1006,597380,833555,21332,4493,0,1444,1518509,2369304,124879,22852,10,4600,105308,176929,7535,761,0,926
22955,96262,6017,630,0,721,299217,437396,15010,2770,0,1599,1456932,2132632,114380,20641,10,4166,105263,172551,8702,738,0,1075
267716,318136,17978,1930,0,1774,275080,362538,10508,2341,0,1056,1603062,2120459,122893,22316,10,4542,104995,164908,8552,712,0,999
32803,137401,9838,982,0,1067,271323,377387,12801,2533,0,1284,1586847,2003492,110420,19922,10,4279,106730,162430,7436,701,0,979
270438,319754,17215,1876,0,1652,277982,385696,12617,2497,0,1305,1490262,2003624,117108,21556,10,3941,101249,144128,7891,675,0,878
149230,222009,12088,1216,0,1355,288870,420864,15411,2764,0,1570,1575372,1989362,108107,19913,10,3769,91616,98563,3759,305,0,547
278706,328371,17535,2045,0,1824,575689,748572,25238,4768,0,2274,1545746,1959654,109549,20006,10,4390,114100,154741,5139,700,0,863
274046,335011,17527,1876,0,1814,275496,388031,13081,2550,0,1341,1545046,2041181,114086,21061,10,3959,141900,316096,23150,1888,0,2363
