CPU2,CPU2,CPU2,CPU2,CPU2,CPU2,CPU3,CPU3,CPU3,CPU3,CPU3,CPU3,CPU4,CPU4,CPU4,CPU4,CPU4,CPU4,CPU5,CPU5,CPU5,CPU5,CPU5,CPU5
INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES
1685387,2017978,84795,10899,0,13087,3578978,4297999,181863,26223,0,24906,38335593,18152430,281607,31923,11,81446,1825923,2235606,91388,11820,0,13348
1561289,1676699,67782,9159,0,11526,1467588,1609873,63084,8904,0,11102,10399981,11797623,461162,65024,10,76018,12591449,9505871,320313,33455,0,76475
20172889,20592467,798509,115109,0,138967,106749,178910,9729,831,0,1057,174018,1225879,60270,6179,10,5544,12295502,10919731,399568,41115,0,97683
20526824,20917662,810460,117075,0,143641,108919,212851,10911,1037,0,1196,166571,1133131,53677,5756,10,4862,13650404,11270204,398464,42929,0,92724
19060119,19360158,756793,108107,0,130257,100175,171188,8527,722,0,950,167826,1282313,59995,6100,10,5399,13479611,11104679,392649,40973,0,97347
14520744,14946381,582120,84390,0,103791,106392,225906,10421,899,0,1138,204556,1617626,75741,7717,10,6708,12250981,9357846,325038,34043,0,80070
19292137,19752346,770763,111413,0,136289,91101,116246,3902,356,0,476,154578,1186458,56417,5630,10,5015,16129319,11935412,386140,43338,0,94809
17009970,17194278,672258,95089,0,111582,91121,108328,4027,341,0,535,185371,1369440,67391,6974,10,6037,14167658,10706604,364601,38338,0,90912
20633588,20915170,806301,118626,0,138927,91148,104912,3956,375,0,468,155243,1094827,51993,5401,10,4638,16993232,12418623,404050,44039,0,101058
20650176,20888328,803807,118053,0,137026,107690,205242,6581,626,0,856,159535,1295266,56471,5660,10,5088,19156001,13139788,405164,44281,0,105519
19268267,19584555,781778,111486,0,138019,90723,103410,3975,359,0,517,159503,1280633,56750,5594,10,5109,17395478,12143074,387859,41635,0,100049
19397659,19345454,748782,110941,0,124548,102119,162217,5257,453,0,793,157048,1214886,56416,5595,10,5074,19072342,12941971,402819,43707,0,103475
22764084,22747364,892677,129434,0,146736,90693,107225,4034,355,0,511,133215,1059161,43828,4410,10,4016,21106553,14338659,430176,47003,0,119020
21598161,21046119,819594,119423,0,122654,100426,138345,4726,403,0,671,144632,1190758,47976,4976,10,4329,20815839,13652615,403044,45169,0,107776
23513081,23187350,946371,127347,0,143961,90773,108419,3971,339,0,508,131554,1048799,41887,4234,10,3835,25171095,16062857,459052,49165,0,126436
20924899,20213479,845230,108846,0,113082,107235,137299,4856,551,0,698,163298,1289553,52818,5621,10,4824,22238271,14031926,405451,44104,0,109863
22063098,22166597,861858,127410,0,146810,91086,109171,4300,365,0,591,124661,938862,36658,3779,10,3467,25760700,15587746,417255,46972,0,112668
20263923,19996628,770165,114368,0,125137,102539,147640,5014,410,0,744,162222,1269312,49720,5333,10,4480,22558161,13906882,387828,45010,0,94261
22700665,22530097,862704,128967,0,144676,92609,114988,5460,457,0,646,126733,1007626,41906,4226,10,3804,25873285,15216456,403245,45012,0,102283
22051514,22907360,872203,127349,0,151431,103824,146030,5206,468,0,740,130589,1095205,44215,4285,10,4055,25693490,15349866,416064,45841,0,111880
18495287,18673580,736560,106250,0,124485,90762,107313,3953,349,0,524,154272,1267453,54066,5433,10,4898,23483819,13867081,375453,41006,0,103944
16320467,16560477,654909,95249,0,115615,102186,145129,5261,443,0,801,161072,1292427,54421,5468,10,4937,31147291,16902234,389971,42300,0,122768
4603006,5640507,238817,33026,0,39508,2995467,3685260,177846,23335,0,20409,6192729,8318435,313948,38004,44,46813,21479815,19453015,578914,92358,24,100436
157315,432078,21837,2141,1,2120,142689,309536,18297,1680,0,1827,213461,1134444,41379,3934,11,3854,65470671,47322539,1353446,151720,592,328213
306529,896391,53641,5076,2,5551,3841221,4602466,187344,14456,58,35428,8922855,8774340,239166,18384,3178,95827,55208158,46643573,1931971,202166,1363,337851
1768180,2682029,114635,10712,649,28864,14260350,15384381,678052,49960,392,165396,319375,1621090,92707,9023,10,8380,63342578,47654002,1940353,229992,2274,383026
2956698,5223255,162778,22452,77,20784,9137019,9974775,229506,26225,2355,108909,44609228,36935732,1246907,125366,1037,355452,49364545,46377071,2250181,263477,2380,402703
892710,2020641,92997,8718,103,17428,10910151,9698728,205223,19430,2770,140134,26923166,23482131,846042,81064,746,240540,55221689,47242254,2233665,262379,1547,426003
10460454,10928539,242803,44314,1200,74156,2545937,4407088,135519,20574,138,15952,14407018,12396830,400132,33064,426,117873,38721946,31587351,1340471,159670,1720,237939
58309,311240,10267,952,10,1186,108270,167507,9045,809,0,1058,19417,119026,6834,610,0,699,49782,211528,13238,1334,0,1189
2319191,2242604,74958,9030,10,15688,3069014,3755237,164654,21394,0,27588,946207,1694609,85805,11366,0,8343,486339,905180,50620,6226,0,4859
69148,325992,16534,1634,10,1706,11760903,5485111,126253,12912,1,25980,1794908,2875264,144688,18389,0,18075,20270,112575,6569,669,0,588
2877872,3442699,148954,19319,10,24683,1948842,2382835,121182,14840,0,16702,1943862,3002420,156753,20523,0,15363,754764,864557,34528,5118,0,4510
1755867,2060491,92227,11732,10,14797,1813524,1630401,70193,7814,0,11868,765846,1442459,85949,10416,0,8177,884841,1075799,55317,6008,0,9439
63146,270677,15901,1490,10,1563,2087954,2328775,137337,12147,0,22934,1844097,2683954,149869,16937,0,19400,19267,109489,7219,599,0,741
3170391,3616855,156267,20153,10,26097,783911,1167408,69020,9600,0,7170,2266523,3381489,185328,22368,0,22529,13048,77374,4899,430,0,496
59424,265016,15477,1340,10,1521,106201,169010,10399,972,0,1042,24472,97765,6498,653,0,729,24708,109874,7316,776,0,670
72757,267223,15668,1578,10,1548,111620,187124,11664,1157,0,1196,19177,108070,7171,610,0,756,21075,113728,7629,644,0,807
50952,232227,12318,1087,10,1224,102658,157655,9381,879,0,999,22059,89411,5818,661,0,586,10444,56503,3007,259,0,363
58419,254621,15665,1340,10,1524,104166,174814,10213,866,0,1080,17988864,8119266,45965,6928,0,14087,3122,24983,707,84,0,108
53826,221763,12716,1191,10,1268,101654,144628,8327,803,0,922,18791632,8213400,34083,2348,0,12458,3123,20776,560,78,0,37
50636,237578,12346,1071,10,1207,103358,152044,8866,750,0,972,20468385,8969881,37862,2616,0,13763,3112,26420,680,92,0,96
58647,311227,12199,1155,10,1318,105292,185505,10411,909,0,1109,11784857,5357101,36034,2848,0,9176,3123,28277,707,79,0,98
57007,295512,12911,1248,10,1244,99720,129511,6338,644,0,752,168291,334146,15654,1245,0,753,3122,27830,731,84,0,97
294429,618235,34979,3649,10,3448,749126,1226895,71877,9855,0,6155,2795077,3998539,198176,25094,0,25788,3123295,3538403,142049,19366,0,25199
56637,250992,13310,1185,10,1420,1066480,1866305,118486,13974,0,12505,3690527,4793683,218527,29871,0,28776,3341946,3822170,164669,21442,0,27132
66156,344793,14636,1446,10,1486,107441,165017,8561,777,0,955,14221210,13193063,468934,115872,0,23644,52693,226589,16865,1545,0,1491
59390,329776,15400,1358,10,1508,107758,202686,11080,1007,0,1134,18209682,16327722,567753,137258,0,24494,25630,135730,7770,742,0,777
53169,339445,12730,1147,10,1225,98334,157996,7904,697,0,857,23948968,21880081,735317,183975,0,31873,13139,91630,4985,450,0,499
63457,446187,15340,1445,10,1473,106878,198265,10252,997,0,1075,33478160,30278788,1007410,261542,0,44280,21993,137628,7477,748,0,740
56699,562384,12436,1149,10,1222,98044,177229,7864,709,0,844,41194249,38730372,1247935,330650,0,54895,13089,104860,5041,481,0,490
63985,682249,14774,1369,10,1435,101530,182535,8124,698,0,845,47726539,46381976,1437577,394293,0,61145,16499,137057,6138,609,0,520
67275,637228,11894,1235,10,1197,106989,224982,10387,1048,0,1101,49635847,47728448,1496692,407893,0,64392,22038,145660,7521,778,0,729
55159,507238,11954,1134,10,1144,99873,210895,9072,830,0,918,49842773,47744936,1502526,410251,0,64838,12964,104576,4974,477,0,472
64227,675334,14639,1360,10,1421,101582,219755,9666,883,0,975,49803410,47855690,1502701,409978,0,64901,18519,153514,7281,664,0,673
61378,562245,12862,1254,10,1241,101800,182520,6851,739,0,820,58899124,47865048,823882,209817,0,35988,16536,109592,5352,567,0,519
74126,610641,17353,1651,10,1748,103535,193346,9229,872,0,942,57727444,42097733,313072,61780,0,14070,18436,124361,7052,598,0,705
73074,549659,16563,1702,10,1616,102918,189787,8924,857,0,927,1486068,3299768,41140,7833,0,5017,17291,117719,5457,533,0,554
78689,612984,18227,1797,10,1756,105423,166642,8293,756,0,921,1439869,2142766,40379,7857,0,4423,20289,115122,6016,576,0,572
75754,591039,17244,1643,10,1763,103937,196778,8072,770,0,963,1434287,2166957,42486,8323,0,4725,22515,152920,7633,711,0,776
74944,554723,16808,1707,10,1592,101802,180593,8366,738,0,930,1485015,2994673,141921,18321,0,14607,14405,104047,5343,453,0,532
79932,523911,19120,1869,10,1878,97450,147485,6131,519,0,793,2510615,3294070,164572,27640,0,12507,19506,108113,5890,604,0,609
82027,467253,17631,1845,10,1747,92830,122218,5111,439,0,595,1744258,2375129,62947,11761,0,6450,3115,28215,662,74,0,104
74791,415675,19104,1843,10,1849,107583,138340,5568,546,0,747,1741054,2055686,45391,8676,0,5107,3122,29390,747,85,0,97
67367,345899,17149,1609,10,1706,90865,99474,4109,374,0,517,1744462,1942945,44500,8436,0,5047,3122,26727,733,93,0,103
69209,301257,16388,1656,10,1624,102182,137054,5190,440,0,724,1711279,2442637,117489,16930,0,12575,3122,26910,725,92,0,91
75403,323108,18877,1860,10,1868,91121,100178,4010,351,0,523,1773812,2725109,159036,22607,0,15936,3122,26363,782,90,0,108
77039,292056,18748,1909,10,1928,107604,120802,5634,556,0,755,1946112,2393961,114690,18581,0,11882,3122,24808,730,86,0,98
72159,290540,17391,1709,10,1761,90688,92854,3995,347,0,516,1801185,1901898,52094,10041,0,5282,15464,65107,3848,410,0,479
71387,286964,17552,1721,10,1756,101689,114924,5149,423,0,692,1670325,1593138,45719,8692,0,4645,3113,24923,633,78,0,100
62160,234795,16176,1531,10,1588,90805,92723,3944,329,0,521,1738371,1646818,45692,8414,0,4545,3113,25035,713,84,0,105
74653,306493,17504,1746,10,1705,109034,130335,6734,644,0,824,1731298,2468984,144413,19919,0,14484,55843,203013,14883,1315,0,1572
64203,268425,15480,1557,10,1512,91033,92364,4011,355,0,511,1835693,2112395,91563,14055,0,8751,72487,291734,23930,2211,0,2176
86825,327381,21091,2129,10,2166,107394,127389,5408,429,0,810,1962041,3014032,181582,23587,0,18958,3106,28933,714,85,0,104
75668,325893,19066,1840,10,1897,91153,92886,3956,351,0,520,1547622,2347456,139828,18485,0,14304,3113,24837,672,80,0,98
63212,263230,16391,1534,10,1607,107287,121804,5528,531,0,792,1843601,2403089,132566,18705,0,13212,3113,24673,650,63,0,103
75524,301210,19011,1871,10,1879,90770,93477,4060,358,0,510,1623942,2403159,146679,19034,0,15179,3113,25029,752,99,0,101
73169,272802,17725,1763,10,1788,104100,118324,5167,438,0,741,1619854,2610802,177377,22187,0,17939,3113,25575,663,82,0,101
66767,275781,16166,1560,10,1623,90809,92930,4080,348,0,518,1768033,2550261,153692,21414,0,14688,3113,24956,736,95,0,102
87357,342795,22476,2282,10,2169,107406,126959,5582,539,0,769,1940172,2491826,128036,19228,0,12612,3113,25061,714,91,0,101
69582,271167,16572,1650,10,1616,92838,102306,5105,417,0,599,1430197,2141499,121540,16336,0,12687,3113,24913,632,72,0,102
73309,272157,14665,1426,10,1577,102111,116570,5075,427,0,695,1593800,2696543,185481,27192,0,15242,3113,24908,717,86,0,100
