CPU2,CPU2,CPU2,CPU2,CPU2,CPU2,CPU3,CPU3,CPU3,CPU3,CPU3,CPU3,CPU4,CPU4,CPU4,CPU4,CPU4,CPU4,CPU5,CPU5,CPU5,CPU5,CPU5,CPU5
INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES
1615160,3304261,95264,11362,3,14227,36697138,15500634,174328,22179,8,70085,644886,1965241,75673,8297,0,6562,2707154,3096035,132945,16116,0,19220
8109632,8853706,353291,49719,10,60095,12501821,9702480,341708,35655,0,77543,3050374,4402969,194776,23921,0,27597,1468923,1646412,64672,8862,0,11393
8752969,9266207,359284,51270,10,63098,13208998,11505376,411645,44116,0,99626,197038,946128,46716,4729,0,4347,11741143,12262328,486477,69688,0,86319
76853,408623,16654,1671,10,1602,13650762,11367838,395529,43176,0,94063,209297,1027196,51263,5272,0,4773,21032738,21346428,822867,118655,0,144240
54900,353292,12898,1140,10,1264,13747606,10677942,372012,40490,0,89587,194619,905883,45944,4650,0,4313,20106126,20278854,795702,114906,0,138012
66792,440428,14136,1257,10,1475,11056156,8552277,319387,34093,0,72453,275399,1390456,73409,7402,0,7026,11634001,11898666,479676,68767,0,86327
66230,448521,14533,1341,10,1528,13064827,9720398,327122,35779,0,76014,182539,705324,35903,3597,0,3654,16992403,17332081,696304,99409,0,122599
55159,390652,12656,1120,10,1284,11943557,8763386,306613,33597,0,71250,206269,922692,46936,4680,0,4698,14520102,14796010,589427,85219,0,105537
60642,399619,15171,1327,10,1504,13189171,9735892,336462,36442,0,82549,172714,723191,35008,3450,0,3568,15961240,16204215,649129,92678,0,113923
57640,388791,12715,1221,10,1252,12788277,9069161,307542,33513,0,72925,254788,1313631,68281,7221,0,6437,13264750,13462927,526860,77603,0,90792
61744,410548,15407,1346,10,1519,13893759,9916859,331167,36303,0,80160,168486,746521,36819,3675,0,3447,16121605,16071383,635767,92141,0,100750
55423,365620,13131,1169,10,1294,14003150,8863713,269393,31195,0,48914,199031,952230,46793,5052,0,4140,13990883,14109351,579481,80484,0,92950
62543,391885,14474,1338,10,1462,14739753,10194064,326751,35817,0,80951,181829,736602,38453,3891,0,3821,15794410,15843850,623607,91938,0,104857
61852,415455,15434,1339,10,1549,15021710,10375584,338612,36311,0,84476,172766,723576,34253,3543,0,3404,15726123,16028516,645718,92921,0,113421
54873,364636,12950,1142,10,1265,14749292,10228749,331430,36026,0,82316,176061,729990,34586,3499,0,3412,15370716,15713729,631078,91068,0,110630
63000,405305,14859,1402,10,1503,15528414,10149099,308571,35179,0,73394,189655,809134,42545,4190,0,4109,15708099,15952406,650758,90509,0,106184
54925,395910,12628,1114,10,1249,16797570,10975513,335661,36390,0,82267,157718,640310,31290,3064,0,3093,16052092,16354400,651615,94333,0,114728
62896,441236,15398,1326,10,1514,17932779,11419298,342277,37367,0,87475,146301,505122,23042,2356,0,2522,17256443,17791219,718061,101237,0,127394
9392578,9682044,392638,55928,7,68346,17689933,11213165,328060,36584,3,82661,175141,712223,35439,3528,0,3604,5911336,6144516,248546,35889,0,42413
14925757,15276369,616514,87773,0,111421,17375408,11296845,341702,37309,7,88302,199404,987032,39287,3890,3,3933,54717,189292,10353,1368,0,869
15591890,15731568,649505,88189,0,108082,17287182,10847609,317775,34902,0,78799,127470,997682,41610,4035,10,3985,104796,190853,10511,912,0,1099
15928466,15998066,642605,89816,0,107325,16531239,10900241,328015,36037,0,79858,119774,904593,39309,3912,10,3573,98738,154603,8090,696,0,890
17494026,17810394,706368,102781,0,123646,19117363,11874769,339719,38359,0,85465,94793,686409,24546,2621,10,2499,103601,143947,6676,693,0,761
15714659,15965605,646757,90771,0,110917,19692077,11377093,302579,34358,0,75670,117991,886077,36851,3741,10,3506,97364,121402,4923,435,0,679
15162286,15456917,623522,89319,0,107237,19414209,11441568,308500,35303,0,79198,124379,966292,42211,4156,10,3799,97171,118396,4884,430,0,688
15040345,15339717,614355,88995,0,108043,21149667,11930580,306900,34933,0,77011,127274,983611,39920,4058,10,3811,97473,116334,4924,433,0,699
14207501,14470686,586881,82676,0,105102,23847249,13111771,309534,34031,0,89061,114027,864399,35401,3680,10,3314,95385,115326,4529,400,0,611
13926023,12381655,426520,80049,0,81538,6516985,5493738,210729,27635,0,38666,1557790,3019651,149698,15811,10,21032,5866923,6425111,280617,41385,0,40108
96779,338786,23031,2234,0,2043,41645566,28787591,613932,77575,277,170913,197465,1023602,52221,5275,10,5055,188498,484509,33970,2914,0,3336
