CPU2,CPU2,CPU2,CPU2,CPU2,CPU2,CPU3,CPU3,CPU3,CPU3,CPU3,CPU3,CPU4,CPU4,CPU4,CPU4,CPU4,CPU4,CPU5,CPU5,CPU5,CPU5,CPU5,CPU5
INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES
344560,606298,25841,3095,0,2900,2795103,4012998,221414,28471,10,19274,519670,1206053,44410,5201,0,3866,36311632,15001909,159158,19361,1,66798
1290866,1581452,77050,9146,0,12124,1695363,2260175,94703,11815,10,14246,1021612,2338357,113095,13481,0,11200,2150698,2739143,126044,13424,0,22184
17420113,17553565,681947,95096,0,121140,1507145,1857259,67987,8856,10,11655,126714,883627,42813,4534,0,3670,15406304,11857591,387419,39422,0,99844
19056876,19187987,749495,102922,0,129197,61436,560609,11322,1078,10,1214,144966,997553,56618,5822,0,5196,12643909,10964031,394297,38937,0,97839
23404608,23173572,914692,123894,0,143896,57370,479810,13081,1217,10,1202,108006,760173,44051,4338,0,4072,15712174,12726116,429931,46226,0,105576
15976606,16461296,655387,92643,0,116526,62576,523346,12750,1261,10,1323,169398,1330385,69336,6875,0,6308,12355782,8846788,290043,31864,0,49650
17530866,17918835,708967,99222,0,126133,52913,530778,10233,980,10,1125,149063,1171929,61201,5995,0,5574,14288682,9597169,300394,33663,0,48232
19161457,19227818,758513,108253,0,130260,60905,627491,11401,1059,10,1226,136302,965315,51568,5184,0,4680,15895946,10439137,323167,36864,0,49496
21229513,21169514,842360,118525,0,140969,65740,614499,11341,1165,10,1331,113200,848687,46223,4553,0,4218,18223509,12016703,377377,42383,0,58045
