CPU2,CPU2,CPU2,CPU2,CPU2,CPU2,CPU3,CPU3,CPU3,CPU3,CPU3,CPU3,CPU4,CPU4,CPU4,CPU4,CPU4,CPU4,CPU5,CPU5,CPU5,CPU5,CPU5,CPU5
INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES
36401697,15307575,162912,17644,11,65651,1517999,1909599,83829,10061,0,13046,365875,584142,28490,3008,0,2493,2681605,3027456,128285,14842,0,18339
13125532,10429549,369781,37348,7,86917,10368431,10654899,412221,54921,3,72450,1646736,2001630,86587,11098,0,13498,881871,1287819,50444,7134,0,5859
13054555,11515441,418009,41432,0,103218,21991812,21925562,878859,113382,7,145217,133308,425785,13504,1134,3,1467,20238,220496,3825,383,0,605
14591420,12038945,420084,42684,0,103994,20669292,20626673,808240,109571,0,135528,61515,367478,14519,1406,10,1496,1461549,1711416,62257,8430,0,11197
13270020,10778807,379019,37506,0,95648,19140814,19352967,759529,105277,0,132537,55609,411726,12027,1076,10,1234,97643,261208,4830,481,0,635
12823266,9772380,341719,34131,0,83922,14674938,14955215,599796,81566,0,103288,61197,447043,14544,1274,10,1474,106394,366649,9511,829,0,1162
17715192,13271219,429915,45614,0,107795,23519337,23641933,919620,128271,0,159025,57942,427352,12117,1143,10,1235,100038,243756,6527,668,0,793
18372601,13161434,427613,43717,0,109416,20612431,20783097,826725,111809,0,140265,60350,403699,14096,1254,10,1442,104608,290773,5808,510,0,894
15869004,11366746,370202,37564,0,93593,17539531,17677087,704298,95337,0,122198,59157,442397,12698,1145,10,1357,102324,310197,5993,550,0,875
18219002,12674606,396453,40576,0,104533,20337045,20561023,812204,112277,0,143824,53823,411015,11948,1035,10,1210,94759,245292,5132,424,0,650
20812362,14115472,430294,45162,0,113300,23517287,23707089,955115,129067,0,167464,64473,551751,14509,1273,10,1481,105016,205288,5244,483,0,751
18588067,12673687,388949,40828,0,104241,20642717,20726850,828720,114347,0,143650,57443,507844,12079,1058,10,1224,91164,210485,4077,359,0,533
23932092,15668108,460205,47122,0,129077,25367473,24353865,1022390,124934,0,135830,65694,567263,14671,1345,10,1462,108141,177888,5057,515,0,800
22276296,14353552,418674,43558,0,115034,20753578,20035332,840354,103228,0,109525,58514,538522,11976,1054,10,1237,91125,208869,3939,355,0,532
25325278,15669179,428884,45754,0,116759,24359164,24138363,986449,129427,0,153527,58639,564684,11853,1030,10,1220,104427,156944,5477,484,0,776
24165577,14793802,407170,43144,0,113125,21893698,22013738,878072,119935,0,151883,67867,574707,14615,1341,10,1509,91099,181925,3726,355,0,432
23608867,14789986,422590,44170,0,116062,20807250,20842295,842619,112377,0,137119,58082,502992,12133,1035,10,1263,219651,393289,16805,1590,0,2315
25963957,15842298,425121,44377,0,121924,22584886,22529341,908140,122233,0,151062,64035,548639,14431,1245,10,1473,91120,174554,4014,366,0,520
27063236,15882475,408701,44272,1,110765,23375440,22979373,926970,123117,0,146067,59968,493148,12104,1146,10,1237,107154,176686,6037,507,0,829
28671952,16296486,409684,42409,0,116233,22145222,22427615,891964,123838,0,155368,62752,516171,13641,1247,10,1394,93255,184684,4444,392,0,555
33366912,18307888,420055,45101,0,123299,21872747,21547952,851433,118387,0,137750,62399,503891,13046,1150,10,1396,104881,150644,5089,489,0,729
17356425,14687662,512173,87036,1,85703,5170952,6062755,255143,32633,0,45192,8229728,9986962,390699,43288,66,65177,1076910,1490980,73601,8861,0,8064
68108296,47228814,1228811,128403,439,318066,183640,467490,24400,2382,1,2616,100839,587965,17320,1731,10,1579,237464,568615,32816,2642,1,3159
57972198,47258991,1792688,197211,1392,353471,272626,748640,45329,4441,2,4633,3659661,4431252,154932,11948,62,31637,8989453,8269030,223385,16063,3168,95198
64382597,47595459,1756286,207566,2000,375258,12627100,13673857,586865,42648,303,150833,1801854,3053363,119238,10344,659,29943,347952,1160787,74259,6397,0,7366
53920568,46539997,2087173,248879,2652,432999,10227463,11002912,239028,28184,2355,112270,41345907,38442138,1322492,129133,1087,361696,2694299,5056062,174179,22727,77,18650
55998326,47635748,2150996,251139,1399,427521,5722322,5654593,140255,12476,1252,77186,28227926,23702636,812734,78500,695,237967,6345650,6376412,152775,14578,1618,78196
