CPU2,CPU2,CPU2,CPU2,CPU2,CPU2,CPU3,CPU3,CPU3,CPU3,CPU3,CPU3,CPU4,CPU4,CPU4,CPU4,CPU4,CPU4,CPU5,CPU5,CPU5,CPU5,CPU5,CPU5
INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,L2_RQSTS.MISS,OFFCORE_REQUESTS.DEMAND_DATA_RD,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,BR_MISP_RETIRED.ALL_BRANCHES
497267,901265,32068,3988,3,3210,3198258,4090408,180426,25571,0,23539,37100127,17328281,224637,25417,8,73159,1859041,2468025,116197,13871,0,15980
1250258,1659070,70358,8323,10,11385,444704,646126,25596,3196,0,3022,15286351,11684758,376777,44967,0,64871,14876887,15174058,576947,82269,0,100137
52262,308734,12388,1092,10,1206,104400,186984,9485,835,0,1056,14549997,11175509,383896,42727,0,49587,22398592,22324349,891473,118705,0,143790
69390,555920,15549,1541,10,1534,119806,242492,13441,1258,0,1562,16690779,12097646,404819,45082,0,54705,23137677,23279759,900653,128298,0,152342
50513,225890,12427,1095,10,1210,107052,164808,9028,760,0,1152,6651429,5031830,187610,19133,0,33686,8359144,8467885,345753,47070,0,60627
58847,248966,14169,1233,10,1456,125436,196102,11473,1165,0,1523,3752506,3162254,137580,14223,0,27794,4651005,4809381,203213,27270,0,34419
61101,249524,14272,1318,10,1480,118268,200123,12357,1039,0,1517,3775788,3209389,142047,14091,0,29088,3929738,4004628,169671,22739,0,29903
51131,218112,12621,1111,10,1230,106421,158301,9179,823,0,1113,3826995,3083205,125407,12866,0,26949,4675494,4806236,203388,27153,0,34376
58276,253425,15232,1323,10,1510,119462,204509,12599,1038,0,1617,3925631,3214026,137158,13793,0,28892,3915306,3942901,166234,21701,0,29968
