br_inst_retired.all_branches_pebs:u,br_misp_retired.all_branches_pebs:u,cpu-cycles:u,instructions:u
3604556.0,156141.0,14988888.0,16778400.0
6424172.0,271678.0,26385377.0,29715640.0
7348476.0,266278.0,27202347.0,33840498.0
10188493.0,241211.0,28380163.0,47722204.0
8634040.0,286635.0,28052972.0,40491769.0
6539319.0,254132.0,26513058.0,30568095.0
7092237.0,236088.0,27262235.0,33207235.0
6667738.0,271560.0,27243552.0,30948406.0
6681872.0,276649.0,27131402.0,30873334.0
10433564.0,170511.0,27268833.0,46558312.0
9138808.0,260013.0,28800637.0,41358765.0
7363592.0,286027.0,27901520.0,33797593.0
7356279.0,251659.0,27121761.0,33737784.0
10599899.0,109442.0,28082477.0,63603695.0
13037216.0,76843.0,28139127.0,62738935.0
12205815.0,106274.0,28072452.0,58576522.0
13257534.0,65468.0,28097716.0,64058344.0
12015871.0,98651.0,28013512.0,58286716.0
13308000.0,64559.0,28229118.0,64262349.0
12231064.0,104892.0,28149226.0,58267699.0
13315077.0,62125.0,28069889.0,64064623.0
13308123.0,66397.0,28139622.0,63807044.0
5685415.0,23503.0,28259479.0,96637679.0
2654071.0,3607.0,28411167.0,111465875.0
3297306.0,22257.0,27812607.0,87662248.0
6904662.0,100851.0,27831213.0,31339410.0
8907046.0,89231.0,28287005.0,39498951.0
14496909.0,33997.0,29713007.0,76367617.0
2657252.0,5141.0,28248035.0,109696092.0
5195993.0,68099.0,28974234.0,59820836.0
6194694.0,128056.0,21634963.0,29220186.0
5216717.0,192018.0,19021044.0,23082927.0
1207243.0,68981.0,6558540.0,5804152.0
4141500.0,170119.0,16464213.0,19311075.0
5925579.0,230519.0,25989215.0,27187128.0
7076389.0,268082.0,27588162.0,32344842.0
8273726.0,170254.0,26500686.0,38053517.0
7793635.0,252333.0,27937831.0,37941909.0
7247284.0,253303.0,27150556.0,33581105.0
6425480.0,223035.0,26940241.0,37168350.0
7697979.0,248869.0,27563641.0,35630659.0
7455737.0,219460.0,27221084.0,34304217.0
7440096.0,260092.0,27904275.0,34189739.0
8102535.0,255490.0,28142234.0,37340782.0
8141151.0,259005.0,28153153.0,38814829.0
7494812.0,241262.0,27989401.0,41643213.0
7706587.0,271036.0,27879902.0,36438435.0
6001763.0,277655.0,26885716.0,27749080.0
6490411.0,233700.0,26637477.0,29961266.0
6674910.0,257564.0,27348662.0,33398231.0
4850369.0,111275.0,18237029.0,22237321.0
9690153.0,108836.0,26462138.0,56428547.0
12020805.0,100742.0,27272611.0,51229160.0
7465679.0,213035.0,28092590.0,37356601.0
8669005.0,184943.0,28485107.0,43179998.0
8534695.0,180577.0,28530085.0,42044605.0
6710979.0,223599.0,27988679.0,32252966.0
9173584.0,151886.0,28082589.0,45827332.0
6983514.0,222180.0,28204217.0,33514753.0
7107748.0,215980.0,27780966.0,34547274.0
7155122.0,212770.0,27500341.0,35138458.0
6953351.0,215148.0,27738366.0,33561724.0
8300280.0,180827.0,28605191.0,39509221.0
8315864.0,123561.0,28594879.0,39407726.0
8696051.0,193172.0,29651008.0,40792323.0
9547438.0,156713.0,29835048.0,45350455.0
10604526.0,112118.0,29884244.0,50295839.0
10452662.0,120958.0,28421882.0,49790516.0
11268339.0,131794.0,30091643.0,53053244.0
8382657.0,138387.0,29033424.0,39919104.0
9232751.0,147417.0,26593507.0,42041511.0
12930389.0,54332.0,29142361.0,59682340.0
11046778.0,98677.0,29318356.0,51569973.0
3709893.0,145536.0,15308930.0,17149875.0
6503274.0,277694.0,26870951.0,30044178.0
7738228.0,260333.0,27457871.0,35774952.0
10366494.0,245503.0,28649122.0,48619552.0
8009946.0,283440.0,27708375.0,37520563.0
6809996.0,253323.0,27051843.0,31841527.0
7147551.0,241407.0,27416016.0,33422086.0
6729972.0,278559.0,27424121.0,31105434.0
6806230.0,276041.0,27132369.0,31621129.0
