L1-icache-load-misses:u,LLC-load-misses:u,LLC-loads:u,instructions:u
564597.0,1118.0,34060.0,16608573.0
1393378.0,362.0,65267.0,29548108.0
1244974.0,304.0,66106.0,33917159.0
1061904.0,57.0,59487.0,47771876.0
1069487.0,167.0,66857.0,40746624.0
1401968.0,510.0,68528.0,30574387.0
1344903.0,338.0,73216.0,32996088.0
1392108.0,712.0,70013.0,31025409.0
1273716.0,1450.0,72112.0,30884908.0
675232.0,406.0,46781.0,46395213.0
1152941.0,732.0,73299.0,40923268.0
1296835.0,709.0,62214.0,33661597.0
1222355.0,1285.0,67932.0,33952728.0
1339751.0,1599.0,45501.0,63239250.0
1661849.0,618.0,46370.0,62900404.0
1531206.0,1591.0,79773.0,58759436.0
1698204.0,95.0,31747.0,64293747.0
1463645.0,581.0,97272.0,58588558.0
1695359.0,252.0,34459.0,64141166.0
1600638.0,2455.0,72956.0,58489165.0
1719291.0,358.0,34431.0,64037515.0
1748701.0,604.0,37474.0,63907918.0
543193.0,786.0,12185.0,96818502.0
38821.0,0.0,366.0,111567785.0
37046.0,11942.0,74278.0,87503133.0
7694.0,41677.0,337950.0,31623527.0
23183.0,33839.0,290997.0,40705338.0
26401.0,2911.0,43963.0,78355278.0
86405.0,79.0,8137.0,107624749.0
34895.0,41892.0,330261.0,58465573.0
738734.0,13788.0,120193.0,29051280.0
679329.0,1370.0,45006.0,22634319.0
145183.0,621.0,21080.0,6252875.0
617905.0,427.0,36585.0,19286373.0
1305410.0,9984.0,89970.0,34276616.0
1300308.0,3988.0,65066.0,30879338.0
1407081.0,1921.0,57635.0,40238243.0
1274506.0,2272.0,62243.0,36314521.0
1203559.0,1631.0,62276.0,39616380.0
1432177.0,2310.0,70317.0,32056337.0
1230914.0,671.0,49630.0,36653005.0
1352732.0,3954.0,63925.0,33521994.0
1212098.0,4947.0,65508.0,34663374.0
1231931.0,3466.0,64931.0,39426711.0
1162239.0,3357.0,69966.0,36625718.0
1090257.0,2581.0,73744.0,44330222.0
1229486.0,2555.0,76232.0,32220990.0
1434560.0,4108.0,77846.0,28426973.0
1347772.0,4226.0,98473.0,29255234.0
929177.0,5142.0,66041.0,26958116.0
886541.0,9185.0,87666.0,29488765.0
175732.0,6745.0,56270.0,63486178.0
449416.0,5078.0,204769.0,48877860.0
1038954.0,3130.0,129567.0,36796013.0
901356.0,2725.0,148366.0,39122375.0
868701.0,2600.0,139435.0,42331602.0
1071493.0,2649.0,141710.0,33591693.0
731897.0,3151.0,134317.0,44886407.0
1045241.0,1422.0,137743.0,34525184.0
1091692.0,1404.0,135142.0,32800305.0
1012439.0,1887.0,135035.0,35248141.0
1050135.0,1691.0,135778.0,33532616.0
941952.0,1630.0,106004.0,43365316.0
923396.0,9246.0,167434.0,37314947.0
859152.0,2421.0,198278.0,40623265.0
840953.0,1397.0,184268.0,46331550.0
676312.0,1085.0,144471.0,52995624.0
393752.0,3678.0,166985.0,48628568.0
211544.0,66.0,191612.0,53107093.0
475958.0,14148.0,199611.0,32982967.0
60095.0,18878.0,149792.0,47936284.0
363043.0,4822.0,50829.0,63810624.0
406187.0,7119.0,123328.0,35953266.0
1040859.0,1635.0,46217.0,24024302.0
1414874.0,123.0,64730.0,30838620.0
1149640.0,215.0,57471.0,40015328.0
934502.0,20.0,57976.0,47913682.0
1278147.0,195.0,65782.0,32888416.0
1400243.0,171.0,58037.0,33938407.0
1374180.0,105.0,73362.0,32737619.0
1354751.0,662.0,64517.0,31162297.0
1257960.0,1214.0,73535.0,31216510.0
485746.0,991.0,53010.0,53146446.0
1371000.0,210.0,53528.0,33920585.0
1242847.0,447.0,63851.0,34846329.0
1303915.0,1611.0,59263.0,42615492.0
1434851.0,737.0,48340.0,68318555.0
1604509.0,1267.0,47977.0,61504747.0
1630741.0,92.0,61152.0,61967257.0
1631553.0,113.0,30933.0,63967624.0
1467844.0,495.0,96309.0,58737209.0
1762649.0,432.0,34504.0,64488778.0
1552112.0,2975.0,70373.0,58069451.0
1725434.0,512.0,33907.0,64124246.0
1369043.0,1094.0,28331.0,73812690.0
44941.0,0.0,683.0,111296826.0
41904.0,0.0,678.0,111630713.0
20745.0,36107.0,240048.0,44204184.0
9998.0,39204.0,348093.0,33864488.0
17993.0,9350.0,132836.0,65535391.0
93635.0,954.0,25780.0,94131749.0
47457.0,19030.0,71739.0,94490369.0
544503.0,33835.0,328729.0,31992102.0
383218.0,2137.0,79139.0,18355012.0
595243.0,578.0,38990.0,19697075.0
574265.0,461.0,38387.0,18708600.0
744435.0,5853.0,55230.0,21169361.0
1255099.0,5308.0,66006.0,30503311.0
1328414.0,3137.0,61212.0,34191181.0
1363921.0,1955.0,56402.0,40689323.0
1319374.0,1741.0,61623.0,33774957.0
1236250.0,2657.0,69744.0,37969506.0
1343156.0,1856.0,54865.0,34030316.0
1278262.0,1206.0,52114.0,36031514.0
1219518.0,4517.0,59520.0,33441578.0
1264961.0,3964.0,65495.0,37314876.0
1264833.0,3041.0,66663.0,37917518.0
1076030.0,2508.0,66919.0,41156523.0
1144193.0,1891.0,79910.0,38923886.0
1395284.0,2396.0,72637.0,29950092.0
1371359.0,5312.0,89251.0,29382032.0
1333473.0,2945.0,80117.0,32765803.0
1254422.0,17306.0,136258.0,74056946.0
243421.0,6409.0,189509.0,52242645.0
872633.0,3509.0,130744.0,42282443.0
830274.0,2707.0,134012.0,43787155.0
923450.0,2280.0,145866.0,40007393.0
1063908.0,2541.0,143655.0,34559501.0
756549.0,2541.0,136698.0,43484257.0
1068515.0,1475.0,132432.0,35585535.0
1035219.0,1305.0,135476.0,34921041.0
1031820.0,2087.0,138014.0,34612564.0
1038896.0,1638.0,138642.0,34673760.0
1029322.0,1462.0,122446.0,37300064.0
780528.0,6650.0,121518.0,42515494.0
924665.0,5007.0,193902.0,39393582.0
868492.0,825.0,201176.0,42655907.0
719629.0,2785.0,50431.0,18837362.0
1423163.0,265.0,65582.0,29423950.0
943045.0,924.0,48398.0,24739821.0
29981.0,2154.0,6822.0,805837.0
72000.0,379.0,8896.0,2258315.0
209584.0,486.0,23783.0,7360520.0
382115.0,366.0,32378.0,15012078.0
379436.0,1406.0,52097.0,13994869.0
825643.0,525.0,160654.0,27604522.0
621100.0,330.0,116406.0,29111916.0
609217.0,4141.0,220367.0,30001170.0
252047.0,2279.0,40638.0,7206590.0
37417.0,2509.0,8628.0,1512930.0
11255.0,1184.0,3224.0,250566.0
31201.0,1566.0,5491.0,677830.0
10526.0,35.0,3174.0,250332.0
1322684.0,10405.0,286669.0,70990496.0
593927.0,6282.0,109173.0,52576435.0
467214.0,8120.0,94572.0,28101381.0
691436.0,28508.0,175788.0,28884274.0
47143.0,28972.0,172607.0,37832385.0
254352.0,9563.0,78632.0,57248520.0
362032.0,11341.0,104214.0,54642497.0
23506.0,32064.0,240691.0,26963107.0
34625.0,11060.0,97702.0,47875296.0
59979.0,7707.0,71703.0,57464341.0
374013.0,6806.0,56401.0,62428800.0
319667.0,5194.0,51912.0,62916138.0
425188.0,6402.0,170130.0,51961348.0
75940.0,726.0,17251.0,105725784.0
14195.0,0.0,120.0,112527260.0
22859.0,1029.0,3080.0,110914550.0
14118.0,0.0,103.0,112552420.0
14373.0,0.0,123.0,112571756.0
13623.0,0.0,105.0,112591831.0
10776.0,0.0,91.0,112640684.0
12693.0,0.0,119.0,112570229.0
11925.0,0.0,92.0,112661731.0
13741.0,0.0,169.0,112285278.0
21093.0,0.0,88.0,112637131.0
16800.0,0.0,125.0,112557250.0
20546.0,106.0,1453.0,111591931.0
16521.0,0.0,135.0,112650446.0
16340.0,1.0,163.0,112632082.0
14765.0,0.0,132.0,112580886.0
61225.0,778.0,14792.0,105304484.0
9991.0,0.0,175.0,112495191.0
